"Candidate_Preferred";"freq"
"% of total";10
"% release (qualifier value)";18
"/40";1258
"1+";11
"1+ Score";11
"1+ Score, WHO";11
"10%";26
"2-Mercaptoethanesulfonic Acid";117
"20%";2496
"24 hour time frame";18
"24 Hours";18
"2alpha,3beta,19alpha-trihydroxyurs-12-en";15
"3 Days";18
"30%";2509
"300";20
"40%";1258
"60%";2496
"900";10
"Ability";18
"Able (finding)";10
"Abnormally high";66
"About Your Medicines";20
"Absent second heart sound, S>2<";12
"Access";79
"Account number:Identifier:Point in time:^Patient:Nominal";39
"Accurate (qualifier)";34
"Act Class - review";83
"Active";14
"Activities";34
"Additional";10
"Administration procedure";16
"Advance";92
"Advance -- medical device";92
"Advice";25
"Aim";17
"Aim (idea)";17
"AKR1A1 wt Allele";560
"allowing";40
"Alveolar rhabdomyosarcoma";560
"Ambulance, not otherwise specified";48
"Ambulances";60
"Anatomic Site";11
"Ancestry-Informative Marker";17
"Anesthesia Code";192
"Anesthesia procedures";576
"Anesthesia substance";576
"Anesthesiology";576
"Annotations";12
"Antimicrobial Intermediate Susceptibility Result";12
"Application (Document)";89
"Application Dosing Unit";89
"Application procedure";93
"Apply";99
"apply - action";10
"Apply (administration method)";10
"Apply (instruction)";10
"Appointments";13
"Area";17
"Areas <moth>";13
"Arm position finding";160
"Array Feature";52
"artesunate";16
"Articular system";12
"aspects of laws";31
"Assessed";24
"Assisted (qualifier value)";60
"Assortment";50
"Athletes";16
"Australia";17
"Auto";15
"Availability of";14
"Bale out";35
"Base - General Qualifier";26
"Basis - conceptual entity";28
"Before";79
"Before values";23
"Behavior Rating Inventory of Executive Function";63
"benefit";21
"Better";17
"Better than Others";13
"Bibliographic Reference";35
"Biochemistry";17
"Biologic Development";13
"Biomaterial Treatment";16
"Biomechanical compliance";630
"Biospecimen";14
"Blood Products Laboratory Testing";50
"Body tissue";25
"bony process";10
"bookmark";18
"Bottom";24
"Brain Concussion";41
"Breast Feeding";24
"Brief";63
"Button";10
"buying";47
"Calculation";11
"Call (Instruction)";28
"Canada";57
"Card (document)";160
"Cardiac Stem Cell";28
"care activity";32
"Carson Indians";15
"CASP8AP2 wt Allele";82
"CD5L wt Allele";17
"CD69 protein, human";17
"CD69 wt Allele";17
"CDISC SEND Study Design Terminology";13
"Cells";11
"Central";33
"Certification";24
"chapter";40
"Characteristics";52
"Check";29
"Checking (action)";30
"Cheque";26
"Choline O-Acetyltransferase, human";18
"Choose (action)";43
"Choroid Plexus Carcinoma";28
"CHPT1 gene";624
"CHPT1 wt Allele";624
"Clinical";162
"Clinical act of insertion";20
"Clinical Batch";162
"Clinical Coding";24
"Clinical Trial Insurance Documentation";24
"Clinical Trials, Monitoring";14
"Clinical/Radiologic";21
"Clinician";43
"Clipperton Island";624
"Cloudy";15
"Cluttering";24
"Coder Device Component";12
"Coding";783
"Coding Subtest (WAIS-IV)";780
"Coding Subtest (WISC-V)";780
"Cognitive";16
"college teachers";10
"combination - answer to question";14
"combination of objects";14
"Combined";17
"Comment";15
"Comment Domain";15
"Commit Lozenge";10
"Commit Operation";12
"Communication";22
"Communication Contact";10
"COMP wt Allele";12
"Company (organization)";131
"Compleat Liquid Nutrition";19
"Complete";43
"Complete Agreement";21
"Complete Pharyngeal Contraction";21
"Completely Able";21
"Compliance";630
"Compliance behavior";641
"Compliant (qualifier value)";10
"Comprehension";11
"Comprehensive";13
"Comprehensive Score for Financial Toxicity";50
"Computer software";14
"Concept Generality - Leaf";10
"Concept model range (foundation metadata concept)";88
"Condition";27
"Condition:Find:Pt:^Patient:Nom";27
"Connection";35
"Connectivity";16
"Consortium or Network";37
"Consultation";38
"contact person";10
"Contact with";18
"Container status - Identified";27
"Contents";117
"Convenient";19
"Copying Processes";11
"Cost aspects";50
"Count of entities";10
"Cover - action";17
"Covered (qualifier value)";31
"Covers (device)";24
"Create data operation";11
