"Candidate_Preferred";"freq"
"20%";24
"450";4
"500";8
"About Your Medicines";1
"Access";15
"Administration occupational activities";1
"Adverse effects";1
"allowing";1
"Anatomic Site";6
"Application (Document)";3
"Application Dosing Unit";3
"Application procedure";3
"Apply";3
"Array Feature";1
"aspects of adverse effects";1
"Assisted (qualifier value)";2
"Assortment";2
"best (quality)";4
"Bibliographic Reference";1
"care activity";1
"care by urgency";1
"Characteristics";1
"Clinician";1
"Closed";1
"Colombia";1
"Commit Operation";4
"Comprehension";1
"Concept History";4
"Condition";7
"Condition:Find:Pt:^Patient:Nom";7
"Connect";1
"Count of entities";3
"Current (present time)";3
"Data";4
"Data (eukaryote)";4
"Data call receiving device";4
"Day Care, Medical";1
"Daycare";1
"Details";4
"discount";4
"Disease";7
"Disease Management";1
"Does communicate";4
"DRUGS";1
"Drugs, Non-Prescription";1
"Easy";2
"Electrical Current";3
"Empty (qualifier)";5
"Enabling";1
"Family";1
"Family (taxonomic)";1
"Feature";1
"Financial savings";2
"Four";8
"Free (available (qualifier))";5
"Free of (attribute)";5
"Functional Map";2
"GORAB gene";1
"Gray Platelet Syndrome";1
"Group Object";4
"Groups";4
"Health Insurance Portability and Accountability Act";1
"Help document";2
"Hepatocellular Adenoma";1
"Heterocyclic Amines";1
"Historical aspects qualifier";4
"History";4
"History of allergies";1
"History of present illness";4
"History of previous events";3
"HL7PublishingSubSection <practice>";4
"Hour";8
"Human Cells, Tissues, and Cellular and Tissue-Based Products Storage";2
"Image Feature";1
"Importance Rating Score 0";6
"Important";6
"Including (qualifier)";1
"Independence";8
"Independent for Transfer";8
"Independently able";8
"Information";10
"Local";33
"Location";6
"Location of Oral Residue Following Swallowing";5
"Location of Pharyngeal Residue Following Swallowing";5
"Logical Condition";7
"Management Occupations";1
"Management procedure";1
"Map";2
"Medical";10
"Medical History";4
"Medical service";10
"medication history";1
"Medications";7
"Medications:-:Point in time:^Patient:-";7
"Medications:Presence or Identity:Duration of the study:^Patient:Nominal";7
"Microtubule-Associated Proteins";2
"Monograph";1
"More";1
"Myositis Activities Profile";2
"Nance-Horan syndrome";1
"NHS gene";1
"Numbers";3
"Nurses";1
"Official";20
"One";2
"Out (direction)";1
"Page (document)";18
"Pages";18
"Paramedical Personnel";1
"pay";1
"Pharmaceutical Preparations";11
"Pharmaceutical Services";8
"Pharmacist";45
"Pharmacologic Substance";3
"Pharmacy (field)";8
"Pharmacy domain";8
"Pharmacy facility";8
"Physicians";1
"Population Group";4
"Practice Experience";4
"prescribed";1
"prescription document";2
"Prescription Drugs";23
"Prescription procedure";16
"prescription refill";4
"Prescription request";2
"Prescriptions:Finding:Point in time:^Patient:Narrative";16
"Presentation";4
"Profile (lab procedure)";4
"Profiling (action)";4
"Proprietary Name";6
"Provide (product)";1
"Providing (action)";1
"Question (inquiry)";2
"RAX gene";2
"Recent";4
"Reference Object";1
"refill";7
"Regulatory Application";3
"Reminder";7
"Removed";1
"Request - action";3
"Role Class - access";15
"Routine";1
"Rx therapy";2
"Same";2
"Scientific Equipment";2
"Secure - resin cement";1
"Secure feeling";1
"Security - service";1
"set (group)";2
"Set (Psychology)";2
"Set scale";2
"Site";8
"Social group";4
"Storage";2
"Submitted";1
"summary - ActRelationshipSubset";2
"Summary (document)";2
"Take";1
"teams";4
"Telephone";2
"Telephone Device Component";2
"Telephone Number";2
"To";4
"Togo";4
"Tool, device (physical object)";2
"Top (position)";4
"Tryptophanase";4
"Used Quit Cigarette Smoking Videos";4
"Useful";1
"User Group";4
"Variety (taxon)";2
"videocassette";4
"View";25
"Vine";10
"Vine, Bach flower essence";10
"Write - language ability";12
"Writing (function)";12
"Writing (occupation or discipline)";12
