ID;Name;URL;Description;NC 1/0;Cardiology;Dentistry;Dermatology;DiabetesCare;EmergencyMedicine;Endocrinology;Gastroenterology;GinecologyAndObstetrics;MentalHealth&Neurology;Nutrition;Oncology;Pediatrics;SensorySystemsHealthcare;SleepAndRespiratoryCare;Surgery;Across specialties;Notes;;;
914520833;MediaLibrary;https://itunes.apple.com/us/app/medialibrary/id914520833?mt=8;The MediaLibrary App from Ivoclar Vivadent allows quick and efficient access to all customer information provided by Ivoclar Vivadent via mobile devices. It simplifies the search for and management of relevant documents including instructions for use, brochures, scientific documentation and safety data sheets. Search results can be filtered according to category, language and file type. Moreover, the search results can be saved for later use.The App also offers the option of saving your documents locally, so that you have them at hand whenever you need them. As soon as you are online again, the saved documents are automatically checked against the database and updated if required.As a result, the MediaLibrary App from Ivoclar Vivadent helps you to stay abreast of things.Functions:- Overview page providing the latest information about your documents- Filter search (according to category, language and file type)- Search results can be saved- Folder Tree structure- Favourites feature- Downloading of documents for offline use;0; ;1;;;;;;;;;;;;;;;;;;
570260975;Metro Alert;https://itunes.apple.com/us/app/metro-alert/id570260975?mt=8;Metro Alert is intended primarily for use by emergency first responders, but also may be utilized by those throughout the country as a reference tool.Metro Alert links the emergency first responder directly with the receiving organization's communication center. The GPS function instantly alerts the communication center of your location while we verify aircraft availability and ETA. This speeds response times and places the flight crew on standby at no cost to your patient. You still must go through your normal request channels to launch the helicopter.Metro Alert also provides additional functions and important reference information for medical and trauma emergencies including:  Send EKG, wound, accident scene photos  Send HIPAA compliant social media photos  Access education references and courses  EMS pocket reference  Contact information and moreAlthough all public safety providers may utilize Metro Alert, registration is required for full activation and functionality. Registration is free and will take less than three minutes.Designed for all public safety personnel, this application was designed and tested in collaboration with emergency first responders.;0; ;;;;1;;;;;;;;;;;;;;;
988957178;MyCareLink SmartÂ™ US;https://itunes.apple.com/us/app/mycarelink-smart-us/id988957178?mt=8;Medtronic makes it easy for heart device patients to stay connected to their doctor. The MyCareLink Smart Monitor for pacemaker patients, including CRT-P, combines a Reader and an app, making this a convenient way to send heart device information remotely to your doctor between clinic visits or whenever youre not feeling well. The app can only be used with a MyCareLink Smart Reader, which is prescribedby the patients doctor.The MyCareLink Smart Mobile App allows Medtronic pacemaker patients, including CRT-P, to: Send heart device information wherever you go*- just remember your Reader See the date you last sent heart device information to your clinicThe screenshots below demonstrate the steps for this app, once its downloaded onto your mobile device.*Cellular and Wi-Fi service availability apply.;0;1;;;;;;;;;;;;;;;;;;;
880673984;RunMe!;https://itunes.apple.com/us/app/runme/id880673984?mt=8;************** NEW VERSION ********************RunMe! The fitnes App. Record your performance and share with your friends on social network.Save your session for future sharing.Different type of training: Walking => Running => Biking.Watch your burned calories inside your session.Text to Speech technology inside your session.Background music from your iPod music library.*****************************************************;1; ;;;;;;;;;;;;;;;;;;;
1436045094;Studio One Twenty-Four;https://itunes.apple.com/us/app/studio-one-twenty-four/id1436045094?mt=8;Studio One Twenty-Four offers yoga, spinning, spray tanning and other wellness services! Download our app to view our schedule, book into classes and appointments, manage your Studio One Twenty-Four account and more.;1; ;;;;;;;;;;;;;;;;;;;
575420398;Fitting Edge;https://itunes.apple.com/us/app/fitting-edge/id575420398?mt=8;Download the Fitting Edge, the first app designed to simplify fitting your staff for uniforms! Each member of your team can easily select the style, color and size they prefer all within the guidelines of your approved uniform program. The Fitting Edge can accommodate the needs of small groups to multiple departments and cost centers within large institutions. Once your fitting event is created the application allows each member of your team to sign in with their own login and select their size and style preferences. Their selection is confirmed by email and can be updated until you select to close your fitting. All uniform requirements are then uploaded to SmartScrubs order fulfillment system for delivery. For more information call SmartScrubs at (800) 231-5965.;1; ;;;;;;;;;;;;;;;;;;;
1299588923;LeukoCounter;https://itunes.apple.com/us/app/leukocounter/id1299588923?mt=8;LeukoCounter is a differential counter for Leukocytes and Erythroblast.With it, you can perform your count in a dynamically, intuitively and quickly way.You can check the results of the sample right after its completion in an organized way, being able to add a name for your sample and a note to use in the way that suits you the best.It has an automatic calculation of L / mm3 (micro liter / cubic millimeter) of blood per cell type based on the amount inserted for better blood analysis.The sharing option in the Result and Detail of the sample allows you to send results of your samples easily.In Settings you can:- Prevent screen locking for more convenience during counting- Change the maximum amount of Leukocytes to the counts- Enable or remove sounds and vibrations;0; ;;;;;;;;;;;;;;;1;monitoraggio valori sangue può essere usato in diverse discipline per cui across specialties secondo me; ;;
580300647;Nutrition - Food Details;https://itunes.apple.com/us/app/nutrition-food-details/id580300647?mt=8;Fast search through the entire USDA nutrient database to find nutrient details on 8192 common food items available in the US.The USDA National Nutrient Database for Standard Reference (SR) is the major source of food composition data in the United States. It provides the foundation for most food composition databases in the public and private sectors. As information is updated, new versions of the database are released. This version, Release 25 (SR25), contains data on 8,194 food items and up to 146 food components. It replaces SR24 issued in September 2011. All data is taken from  U.S. Department of Agriculture, Agricultural Research Service. 2012. USDA National Nutrient Database for Standard Reference, Release 25. Nutrient Data Laboratory Home Page, http://www.ars.usda.gov/nutrientdata;0; ;;;;;;;;;1;;;;;;;;;;
1391498351;Pre Reg Master;https://itunes.apple.com/us/app/pre-reg-master/id1391498351?mt=8;The Pre Reg Master app prepares the country's future pharmacists for the pre-registration exam by granting them access to hundreds of questions and offering detailed explanations that clear out all dilemmas they might have.The app is divided into 5 cards: Clinical, OTC, Law, Miscellaneous and Randomise. The clinical section contains all of the BNFs 16 chapters. Simply select the section you'd like to work on and instantly start checking the level of your knowledge directly from your iPhone. Pre Reg Master app will correct you immediately if you submit a wrong answer and provide you with an explanation. You can monitor your progress in each section because the app displays the number of correctly answered questions for each day of the week. Studying for the pre-registration exam with Pre Reg Master app is like taking a quiz, only the reward is reaching your dream of becoming a registered pharmacist. Learning on the go with Pre Reg Master:- There are more than 400 questions in the app's database- Choose from timed or untimed questions to create a more exam-centred environment - Clinical section of the app contains all 16 BNF chapters- Law section features a strong variety of law-related subjects- Randomise section challenges you to reply to questions from different sections without any particular order- All questions were written by a group of pharmacists from community and hospital, and newly qualified ones too- Detailed explanations are provided for each question- Users can monitor their progress on a daily or weekly basis- The elegantly designed and user-friendly interface makes using the Pre Reg Master app a pure joy- The question database is updated regularly- Customer support is available at all hours - hello@preregmaster.com- The app is compatible with iOS 9.0 or later;1; ;;;;;;;;;;;;;;;;;;;
1319595177;Track To Ten;https://itunes.apple.com/us/app/track-to-ten/id1319595177?mt=8;An easy app which teaches kids about eating healthy and doing healthy activities while encouraging them to Track To Ten each day.  Kids earn credits when they eat healthy foods, like FRUITS, VEGGIES & WHOLE GRAINS!  If they don't know what a WHOLE GRAIN is, the app teaches them by giving examples (granola bar, oatmeal, wheat bread...). They also earn credits for doing healthy activities like BEING ACTIVE, READING and GETTING ENOUGH SLEEP!  Track To Ten teaches moderation when it comes to eating too many SWEETS or drinking SOFT DRINKS, which are full of sugar.  Track To Ten also discourages too much TV WATCHING and ELECTRONICS while encouraging healthier activities like being active or reading a book.All in fun, kids try to beat their High Score and get encouraging messaging while they Track To Ten each day.Best suited for ages 8 - 13 years old (3rd - 8th grade).Individual monthly subscription access to the Track To Ten Wellness Program is $3.99/month. Payment will be charged to your iTunes Account at confirmation of purchase.  The monthly subscription to Track To Ten Wellness Program automatically renews at $3.99/month unless auto-renew is turned off at least 24-hours before the end of the current period. Subscriptions may be managed and auto-renewal may be turned off by going to your Account Settings after purchase.Terms of Service link is here: https://tracktoten.com/terms-of-service/Contact us to get more kids involved and earn pledges for your organization by starting a fundraiser.  Kids get pledges for earning credits for eating healthy and doing healthy activities.  Contact us for fundraising information:  laura@tracktoten.com;0; ;;;;;;;;;1;;;;;;;;;;
