"App ID";"App Name";"App URL";"App description";"Keywords";"Version";"Age rating";"Language(s)";"Developer ID";"Developer Name";"Price";"Currency";"Size";"Last update date";"Release Date";"Average user ratings-current";"Number of user ratings-current";"% of user ratings with 5 stars";"% of user ratings with 4 stars";"% of user ratings with 3 stars";"% of user ratings with 2 stars";"% of user ratings with 1 star";"Date"
1251041652;"ARC PT Patient App ";"https://itunes.apple.com/us/app/arc-pt-patient-app/id1251041652?mt=8";"The ARC Physical Therapy Patient App is used in combination with In Hand Health's Physical Therapy In Hand (PTIH) telehealth web application.  *** Does not function independently. ***Physical therapists use PTIH to build and deliver exercise prescriptions and resources to their patients. Patients use the ARC Physical Therapy Patient App to receive these instructions, watch exercise videos, track compliance on their workouts, and to securely communicate with their physical therapists.Please Note: This app is intended for use by a patient under the direct care of his or her physical therapist. It is not a do-it-yourself exercise or fitness app. You can download it but cannot log in without receiving a user name and password from your physical therapist.";"ARC PT Patient App, ARC Physical Therapy, LP, Health & Fitness, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"1.3.47";12;"English";"1391269085";"ARC Physical Therapy Plus, Limited Partnership";0;"0";40,9;NA;2017-06-27;NA;NA;NA;NA;NA;NA;NA;2018-10-09
1231699244;"Art Of 8 Training and Fitness ";"https://itunes.apple.com/us/app/art-of-8-training-and-fitness/id1231699244?mt=8";"Download the Art Of 8 Training and Fitness App today to plan and schedule your classes! From this mobile App you can view class schedules, sign-up for classes, view ongoing promotions, as well as view the studio’s location and contact information. You can also click through to our social pages! Optimize your time and maximize the convenience of signing up for classes from your device! Download this App today!";"Art Of 8 Training and Fitness, MINDBODY, Incorporated, Health & Fitness, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"4.2.1";4;"English, Arabic, Czech, Danish, Dutch, French, German, Hebrew, Italian, Japanese, Norwegian Bokmål, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese";"472317932";"MINDBODY, Incorporated";0;"0";72,7;2018-07-13;NA;NA;NA;NA;NA;NA;NA;NA;2018-10-09
1432217329;"Arthritis Pain Radar ";"https://itunes.apple.com/us/app/arthritis-pain-radar/id1432217329?mt=8";"If you suffer from an immune system inflammatory disease such as, Arthritis, Psoriatic Arthritis, Rheumatoid Arthritis, Fibromyalgia, and others, Arthritis Pain Radar will help you take back control of your life.   Medical studies have shown that barometric pressure plays the major part in flare-ups with inflammatory disease.   Arthritis Pain Radar will tell you, in advance, when your pain levels will increase with plenty of time to act.  	•	24-hour forecast on increases in pain level	•	12-hour alerts in the evening and morning to warn of impending flare-ups	•	Hourly Barometric Forecast to every Zip Code or GPS coordinate worldwide	•	Machine learning to understand your sensitivity to each barometric pressure and adjust your alerts";"Arthritis Pain Radar, Chimera Innovation LLC, Health & Fitness, Medical, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";NA;4;"English";"1430429582";"Chimera Innovation LLC";0,99;"$";18,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;2018-10-09
1383707395;"Arts Mission Oak Cliff ";"https://itunes.apple.com/us/app/arts-mission-oak-cliff/id1383707395?mt=8";"We strive to inspire local artists so they can invest in themselves and their creative potential. We offer three levels of education (Kids, Community, and Master)so you can keep learning –at any age or stage.Our members take advantage of open coworking and specialized spaces, like a recording studio, mini-maker space, yoga studio, library, theater, and more. We build relationships between our patrons and artists though education, feedback, meals, fellowship, conversation, and empathy.";"Arts Mission Oak Cliff, Arts Mission Oak Cliff, Health & Fitness, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";NA;4;"English";"1383707394";"Arts Mission Oak Cliff LLC";0;"0";8,1;NA;NA;NA;NA;NA;NA;NA;NA;NA;2018-10-09
1398472280;"Ashley Black's FasciaYoga ";"https://itunes.apple.com/us/app/ashley-blacks-fasciayoga/id1398472280?mt=8";"Welcome to FasciaYoga!  Where fascia therapy meets yoga techniques to take your movement to a new level.  Join Ashley Black as she guides you through each traction and stretch, taking your knowledge of fascia to the next level! To purchase the FasciaYoga Ball used in the videos, visit: https://www.fasciablaster.com/products/ashley-blacks-exercise-ball .Quick How To:When you first open the app, the introduction video will play. To exit out of this video, click the ""x"" at the top left corner of your screen.  Once in the app you're able to choose from two main views: ""Body Map"" view or ""All Videos""Body Map View:In this view you're able to toggle the body image between 3 different angles using the buttons below the body image: Front, Side, and Back. Tap different areas of the body that you'd like to stretch.  When you tap an area of the body, a box will surround the area you've chosen and the name will appear at the top of your screen.  To watch the video, click the play button (<U+25B6>) at the top right corner of your screen.  Once the video is done playing, you can watch it again or click the ""x"" at the top left of your screen to go back to the Body Map View.All Videos:In this view you're able to see all the areas of the body that we have FasciaYoga videos available for, as well as the intro video. You can click to watch each individually, or click the ""All Videos"" tab to play all videos we currently have available.  Once the video(s) have finished, click the ""x"" at the top left of your screen to return back to the grid of available videos.";"Ashley Black's FasciaYoga, Ashley Black, Health & Fitness, Education, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"1.2";17;"English";"1436990010";"Ashley Black";0;"0";423;2018-08-28;2018-06-20;NA;64;67;0;5;9;19;2018-10-09
1297219978;"Ashtanga Series ";"https://itunes.apple.com/us/app/ashtanga-series/id1297219978?mt=8";"Day Christensen began her yoga practice in 2004 after receiving her BFA from the University  of Illinois at Chicago. Day's teachings are born from her own disciplined and dedicated practice. She encourages students to challenge themselves physically, while, at the same time, be easy mentally.This app will help you embrace Ashtanga Yoga in your everyday life through:- Video demonstrations of Ashtanga Postures- Mantras- Video Routines- Meditation Timer";"Ashtanga Series, Kevin M Gates, Health & Fitness, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"1.1";4;"English";"1297219977";"Kevin M Gates";0;"0";99,2;NA;2017-10-23;NA;NA;NA;NA;NA;NA;NA;2018-10-09
936805423;"Astellas UroLog ";"https://itunes.apple.com/us/app/astellas-urolog/id936805423?mt=8";"Are you one of the many women and men who spend a bit too much time thinking about the toilet? Maybe you wonder whether you’ll get to the toilet in time, or if you pass urine a bit too often or a bit too little each time. If so, we think you should download UroLog, the app that helps you record your toilet habits and makes it easier to talk to medical staff about the problem. With UroLog you use your phone or tablet to log your drinking habits, toilet visits, any leakage and how you feel. The app then summarises the logs in figures and diagrams, giving you a clear idea of the scale of the problem. You can also have the results summarised in a document. It’s a good idea to take your phone or a printout of the document and show it to your doctor or nurse. UroLog• An app for women and men who wonder whether they pass urine too often. • Simple log function for feelings of urgency (when it feels as if your bladder is full and needs emptying), toilet visits, drinking habits, mood and any leakage.• Possible to see links between different parameters such as fluid intake and number of toilet visits per day. • A good basis for discussion with medical staff. • Easy to monitor improvements if treatment is prescribed.Please note that UroLog is not in any way intended as a replacement for professional advice. If you have any questions or doubts about your health, you should always seek medical advice.";"Astellas UroLog, Astellas Pharma A/S, Medical, Health & Fitness, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"2.0.3";12;"English";"934816744";"Astellas Pharma A/S";0;"0";37,1;2016-12-19;2014-11-10;NA;NA;NA;NA;NA;NA;NA;2018-10-09
1004002971;"Asthma Guideline Says ";"https://itunes.apple.com/us/app/asthma-guideline-says/id1004002971?mt=8";"**Award-winning medical technology featured on Globe and Mail, CBC Radio, Calgary Herald, and Canadian Healthcare Technology magazine**Asthma Guideline Says is an efficient guidelines-based Asthma diagnosis and patient management app designed for use by healthcare practitioners at the point of care. We provide the best evidence-based questions and generate the diagnosis, workup, and treatment plan for Asthma according to the latest Canadian Thoracic Society (CTS) guidelines. Its sleek, intuitive design has already garnered the 2014 International Health Innovation Award, the 2014 Innovation Academy award from the Ward of the 21st Century, and it has been profiled in media outlets including the Globe And Mail, CBC Radio, the Calgary Herald, and the Canadian Healthcare Technology magazine.Medical content reviewed by University of Calgary Drs. Michael Braganza, Darrel Cotton, and Rahul Mehta. *This app has been developed independently of any guidelines organization and although we've done our best to ensure accuracy, it may contain errors or omissions. This tool is not intended to be a substitute for professional medical advice, diagnosis, or treatment. Seek the advice of your physician or other qualified health provider with any questions you may have regarding a medical condition.";"Asthma Guideline Says, Pixineers Inc., Medical, Health & Fitness, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"1.1";17;"English";"379400376";"Pixineers Inc.";0;"0";34,4;NA;2015-06-19;NA;NA;NA;NA;NA;NA;NA;2018-10-09
423814835;"Astro Feel Pro - Astrology ";"https://itunes.apple.com/us/app/astro-feel-pro-astrology/id423814835?mt=8";"It gives you at a glance the astrological tendencies  about the following areas of your life : - love - money - luck - work - health You get three decanates, including separate predictions for the day and the evening for all twelve classical astrology signs: Aries, Taurus, Gemini, Cancer, Leo, Virgo, Libra, Scorpio, Sagittarius, Capricorn, Aquarius, Pisces.In addition to that, the application also displays the word of the moment to help you learn more about yourself and your feelings on that particular day.Get it now and start understanding yourself and others better every day !The PRO version has no ads and allows you to see more days, not to mention it helps us build more apps for you!";"Astro Feel Pro - Astrology, smalltech sarl, Lifestyle, Health & Fitness, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"1.82";4;"English, Danish, Dutch, Finnish, French, German, Greek, Indonesian, Italian, Japanese, Korean, Malay, Norwegian Bokmål, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Vietnamese";"289934568";"smalltech sarl";1,99;"$";20,1;2018-05-18;2011-04-12;NA;NA;NA;NA;NA;NA;NA;2018-10-09
966684293;"AstroSecret: Get Pregnant with Conceiving Calendar ";"https://itunes.apple.com/us/app/astrosecret-get-pregnant-with-conceiving-calendar/id966684293?mt=8";"With AstroSecret your chance of pregnancy can be increased up to 99%! We use unique scientific method developed by Dr. Jonas – a man who was nominated twice for a Nobel Prize. He discovered: “A woman is fertile in the period of a particular Moon phase. If both cycles - hormonal and lunar overlap, the chance of pregnancy is 99%!” ** Facebook: ""This app is with high social value, impressive development so far and potential for continued growth.""Dr. Jonas also developed parameters by which the baby’s sex can be determined. The preciseness of the prognosis has been positive in 97, 7% of the time! The apps goal is to make difficult and complex calculation system available to every modern day life woman who wishes to use a thousand year old knowledge of astrology to determine the most favorable dates for conceiving a child.What people are saying about AstroSecret:""It is the best astrology app available in the market for women trying to have a baby."" - AppReviewsCritics.com“I got pregnant following the AstroSecret pregnancy planning method, and conception even happened outside of the physiological fertile and ovulation window. But this day was marked as an AstroSecret special day in the calendar app. I couldn’t believe such miracle had happened!” - one of the first AstroSecret app users, Linda“This app combines astrology with modern science to give you the best of both worlds.” - AppsMirror.com“For any women planning to conceive, AstroSecret is a must, because this can help when planning the most favorable pregnancy” - Apps4review.com“It gives you a natural and unique way to conceive by first checking the planetary positions at the time and place of your birth, then comparing the result with the planetary positions at the time and place where you wish to conceive and predicts a date for you.” - Apps400.comThe AstroSecret app contains both free and paid features.Paid features are accessible through subscription options. These features include:- Precise favorable days for conception based on the exact place and time of birth (the AstroSecret Days)- A yearly calendar view to keep track of your favorable days each month- Potential gender prediction of your child (with approx. 80% reliability)- Potential horoscope of your child at a glanceFree features include:- 7 day free trial to paid features listed above- Access to a simple and stylish menstrual cycle/period tracker- Regular ovulation and fertility calendar, offering forecasts based on standard/automatic calculation data from the last six months- Ability to change your ovulation period manually- Add and see intimacy notes- Add and see pregnancy notes- Get reminders for your important daysThere are two subscription options:Monthly at $2.99 USDYearly at $9.99 USD*AstroSecret should not be used to prevent unwanted pregnancies!**AstroSecret can also be used in conjunction with artificial insemination.***We’d love to see your feedback and comments. Thank you!Please visit our home page at www.astrosecret.net or follow us on:Twitter: @AstrosecretAppsFacebook: http://facebook.com/AstrosecretApp";"AstroSecret: Get Pregnant with Conceiving Calendar, AstroSecret Apps, Medical, Health & Fitness, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"1.7.3";9;"English, Latvian, Russian";"966684292";"Astrosecret";0;"0";5,9;NA;2015-05-19;NA;19;89;0;0;5;5;2018-10-09
