"URL";"Name";"ID";"Category";"Description";"Keywords";"Version";"Age Rating";"Language(s)";"Developer ID";"Developer Name";"Developer URL";"Price";"Currency";"Size";"Last Update Date";"Release Date";"Average user ratings-current";"Number of user ratings-current";"% of user ratings with 5 stars";"% of user ratings with 4 stars";"% of user ratings with 3 stars";"% of user ratings with 2 stars";"% of user ratings with 1 star";"Date"
"https://itunes.apple.com/us/app/30-day-thigh-slimmer-challenge/id1031019342?mt=8";"30 Day Thigh Slimmer Challenge ";1031019342;"Health&Fitness";"**Want to improve your health & fitness? Want the ultimate workout for those slim and firm thighs you’ve always dreamed of? Then try the 30 Day Thigh Slimming Challenge for FREE!!**The 30 Day Thigh Slimming Challenge is a simple 30 day exercise plan, where you do a set number of thigh slimming exercises each day with rest days thrown in! The workout increases intensity slowly and day 30 will test anyone. In total the app has 6 workouts with 13 exercises. The workouts and exercises are suitable for both men and women of any age and fitness levels.  You can also track your progress and share it with your friends via Facebook, Twitter and email updates!Try our other 30 day challenge apps too:- 30 Day Ab Challenge- 30 Day Cardio Challenge- 30 Day Firm Butt Challenge- 30 Day Plank Challenge- 30 Day Push Up Challenge- 30 Day Squat Challenge- 30 Day Toned Arms Challenge- 7 Minute Workouts- Paleo Food List- Fasting Timer- iStats- More apps coming soon!!Please seek medical advice prior to commencement.";"30 Day Thigh Slimmer Challenge, Jozic Productions Pty Ltd, Health & Fitness, Sports, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"2.3";4;"English";"470171631";"Jozic Productions Pty Ltd";"https://itunes.apple.com/us/developer/jozic-productions-pty-ltd/id470171631?mt=8";0;NA;72,6;NA;NA;4,4;25;68;8;0;20;4;2018-10-19
"https://itunes.apple.com/us/app/aoc-expatcare/id1292692305?mt=8";"AOC Expatcare ";1292692305;"Health&Fitness";"AOC Expatcare is the first mobile App comparing international private medical health insurances for expatriates taking their needs in consideration and leaning on digital health and the latest technologies on connected devices. The AOC Expatcare app allows you to compare international private medical health insurance for expatriates taking their needs in consideration and leaning on digital health and the latest technologies on connected devices.With AOC Expatcare App, policyholders can:- Easily manage your health insurance in real time by simply clicking on the insurer/provider's logo and uploading a picture of their insurance certificate they have taken to our platform- Make a live comparison based on their needs using the AOC Expatcare algorithm while being able to interact with an AOC Team expertCommunicate and interact with the AOC team via chatbot, click to call, Skype me and email- Prevent risks and act becoming actors of their health through a machine learning platform and digital/human recommendationsObtain a discount coupon on the Garmin store to purchase internet of things devices and monitor their health- Track the loyalty points they accumulate in the AOC The Family program and receive rewardsAbove all, AOC Expatcare is a commitment and loyalty program rewarding the efforts of our insureds who take preventive actions via digital and human health and the latest technologies of rupture (blood tests, genetics tests, sensors and wearables, interpretations of medical files to ICD10 norm, follow-up and recommendations etc.).AOC Expatcare is also an application and a scalable platform dedicated to health insurance industry and adapted to the consumption patterns of Baby boomers, Gen x, Millenials and Gen Z expatriated all over the world who want more interaction, services and benefit from the health of the future.AOC Insurance, Get Better, Get Healthier";"AOC Expatcare, AOC INSURANCE BROKER, Finance, Health & Fitness, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"1.1.0";4;"English, Catalan, French, German, Italian, Polish, Portuguese, Simplified Chinese, Spanish";"1292692304";"LF FINANCE";"https://itunes.apple.com/us/developer/aoc-insurance-broker/id1292692304?mt=8";0;NA;81,5;2018-10-11;2018-10-11;NA;NA;NA;NA;NA;NA;NA;2018-10-19
"https://itunes.apple.com/us/app/calorie-consume-walking-pedoro/id1273926165?mt=8";"Calorie consume&walking-Pedoro ";1273926165;"Health&Fitness";"""Pedoro"" is a free application that can measure the number of steps walked in a day, calories burned, walked distance.Just by launching the application, measure the number of steps, distances and calories burned that day.Since you can also set the target value from ""Setting"", you can set the number of steps you want to walk on the day and measure the degree of achievement in real time.Also, if you set your own weight with ""Setting"", you can calculate more accurate calories.■ Function- Automatically count the number of steps on the day the application is started- Target number of steps setting- Show rate of achievement of target step- Display the calories burned according to the number of steps, distance walked, distance- Display past history (number of steps, distance walked, calories burned according to distance)Operation method1. Set the target number of steps per day, your own weight2. Walk with an iPhone terminal3. Calculate calories burned according to the number of steps walked, distance walked, distance4. On the history screen, check the distance, steps, and calories walked yesterday, the day before yesterday■ Recommended for people like this!- I want to check the number of steps I walked in a day- I want to continue walking every day for diet- I want to check how long I usually walk in one day- I want to walk more than 10 thousand steps per day- I want to walk a lot every day to lose weightIf there are additional requests for new functions, etc., please describe it in the review, or it will be helpful if you can contact support email!";"Calorie consume&walking-Pedoro, Youhei Kijima, Health & Fitness, Lifestyle, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"1.0.7";4;"English, French, German, Japanese, Korean, Simplified Chinese, Spanish, Traditional Chinese";"1268184135";"Youhei Kijima";"https://itunes.apple.com/us/developer/youhei-kijima/id1268184135?mt=8";0;NA;25,2;2018-04-24;2018-04-24;4,7;27;78;0;0;19;4;2018-10-19
"https://itunes.apple.com/us/app/fitplus-fulda/id1130733744?mt=8";"FitPlus Fulda ";1130733744;"Health&Fitness";"Durch die FitPlus App hast du deinen Fitnessclub immer dabei. Sie bietet dir jederzeit alle wichtigen Informationen rund um deinen Club FitPlus in Fulda: News & Aktuelles, Aktionen, Angebote, Kursplan mit Kursbeschreibung und vieles mehr.Club-InfosHier findest du alle Infos zu Öffnungszeiten, Kontaktdaten sowie eine Club-BildergalerieFreunde einladenÜber das Mitgliederweiterempfehlungs-Tool kannst du jederzeit Gutscheine an deine Freunde und Bekannte per SMS oder E-Mail verschicken und zu einem Training einladen.News & Push-NachrichtenfunktionDurch die Push-Nachrichten bist du immer bestens über alle Neuigkeiten und Angeboten deines Fitness-Clubs FitPlus informiert.KursprogrammDen aktuellen Kursplan kannst du jederzeit über die App abrufen, somit bist du immer informiert, wann die Kurse beginnen. Du wirst nie wieder deinen Lieblingskurs verpassen.Natürlich ist die App kostenlos und ein Muss für alle Fitness-Begeisterten des FitPlus in Fulda.";"FitPlus Fulda, Appliner, Health & Fitness, Sports, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"2.4.8";17;"German";"435691669";"Appliner GmbH";"https://itunes.apple.com/us/developer/appliner/id435691669?mt=8";0;NA;4,2;2018-01-25;2018-01-25;NA;NA;NA;NA;NA;NA;NA;2018-10-19
"https://itunes.apple.com/us/app/headstrong-hair-salon/id789295162?mt=8";"Headstrong Hair Salon ";789295162;"Health&Fitness";"Easy access to Salon menu, Specials, Get alerts on specials, Hours, Directions, Make a Reservation and more... FEATURES: Make Appointments. Make an appointment directly through your phone. Our staff will get back to you quickly to confirm availability. Check your appointments. Once your requested appointment is confirmed, you’ll receive notification within the app. Specials. Keep up with seasonal offerings and specials. General information. Gallery Menu Call us Directions Hours";"Headstrong Hair Salon, Webappclouds.com, Health & Fitness, Lifestyle, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"2.4";4;"English";"492545410";"Webappclouds, llc";"https://itunes.apple.com/us/developer/webappclouds-com/id492545410?mt=8";0;NA;40,6;2017-09-07;2017-09-07;NA;NA;NA;NA;NA;NA;NA;2018-10-19
"https://itunes.apple.com/us/app/heart-3d-atlas-of-anatomy-lite/id921646802?mt=8";"Heart - 3D Atlas of Anatomy Lite ";921646802;"Medical";"Heart 3D Atlas of Anatomy allows you to rotate a highly realistic 3D heart model as it was in your hands. The anatomical heart 3D model is revolvable in any direction giving a 360° view of the object.User can choose external view or section view. Moreover, the names of specific anatomical areas can be shown touching the related pins (available in Full Version only). Heart app is part of 3D Atlas of Anatomy collection, a human anatomy reference atlas for iPad and iPhone devices. The models in these apps are similar to classic real plastic models but with the great benefits to be always available on your portable devices when you need them and occupy no physical space. These apps can be of great help for students of medicine and art schools or to anyone who needs to study human anatomy shape in detail and from any angle. Immediacy and simplicity together with high quality are distinctive features of the app.Lite Version.";"Heart - 3D Atlas of Anatomy Lite, Catfish Animation Studio, Medical, Education, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"1.0.7";4;"English";"548684241";"Catfish Animation Studio S.r.l.";"https://itunes.apple.com/us/developer/catfish-animation-studio/id548684241?mt=8";0;NA;102,2;2014-12-13;2014-12-13;NA;NA;NA;NA;NA;NA;NA;2018-10-19
"https://itunes.apple.com/us/app/homegrown-yoga/id1399969774?mt=8";"Homegrown Yoga ";1399969774;"Health&Fitness";"Homegrown Yoga  Student App for iOS is a natural extension of our studio online presence. It allows you to:- View schedule, instructor bios, and workshops- Review your attendance history and keep your personal details up-to-date- Make purchases through the online store- Book classes and workshopsApp is used by Homegrown Yoga  studio students to view class schedule, workshops and book classes, etc.App Notes:App is used by Homegrown Yoga  studio students to view class schedule, workshops and book classes, etc.";"Homegrown Yoga, Loop Enterprises LLC, Health & Fitness, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";NA;4;"English";"1114370529";"Loop Enterprises LLC";"https://itunes.apple.com/us/developer/loop-enterprises-llc/id1114370529?mt=8";0;NA;70,7;NA;NA;NA;NA;NA;NA;NA;NA;NA;2018-10-19
"https://itunes.apple.com/us/app/kid-fit-music/id1197368566?mt=8";"KID-FIT Music ";1197368566;"Health&Fitness";"Educational preschool music and video workouts. Original songs to help teach young children healthy lifestyle habits of sound nutrition, fitness basics and relaxation.  Kids learn to have fun while they exercise through games and various physical education activities.  New songs, movement ideas and videos are added every six weeks.Subscribe to KID-FIT Music and Workouts to:•	Stream music from your mobile device, ad free•	Play offline in the classroom or car •	Get all the activity ideas you'll need to get preschoolers moving •	Enjoy the lyrics of all the songs and preview them before downloading from main website•	Request a song according to the topic you're interested in for FREE•	Create your own playlists of any length•	Use custom made playlists from our tested collection•	View video instructions and children doing the activities•	Choose full length class videos•	Address educational topics involving major body systems like the heart, lungs, bones, muscles, skin, brain, body parts, eyes and ears•	Sing-a-long to songs that address nutrition, exercise, rest and timely issues like bullying and personal safety•	Choose songs suitable for warming up, balance, sports skills, aerobics, strengthening, stretching and mind/body relaxation•	Find a multitude of age-appropriate material for Pre-K through kindergarten age childrenKID-FIT Music and Workouts is designed as a tool for teachers and parents of preschool age children.  It offers a complete fitness curriculum accompanied by unique songs from independent songwriters.  Supporting independent artists from around the world.This App includes features that promote physical activity. Use activities with discretion depending on each child's capabilities and limitations.  Consider the risks involved and consult with a medical professional before you or your child begins any physical activity. KID-FIT Music and Workouts is not responsible or liable for any injuries or damages you may sustain that result from your use of, or inability to use, the features included in this App.========================================Kidfit is free to download and available for $9.99/month after one month free trails and $99/year. You can subscribe and pay through your iTunes account. Your subscription will automatically renew unless canceled at least 24 hours before the end of current subscription period. You can manage your subscriptions by entering the user settings in iTunes after the purchase. You can turn off auto-renew at any time from your iTunes account settings.========================================Privacy Policy  : https://www.kidfitmusic.org/legal/Termas and Conditions : https://www.kidfitmusic.org/legal/";"KID-FIT Music, The KID-FIT Preschool Health and Fitness Organization, Health & Fitness, Music, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";NA;4;"English";"1197368565";"The KID-FIT Preschool Health and Fitness Organization";"https://itunes.apple.com/us/developer/the-kid-fit-preschool-health-and-fitness-organization/id1197368565?mt=8";0;NA;54,6;NA;NA;NA;NA;NA;NA;NA;NA;NA;2018-10-19
"https://itunes.apple.com/us/app/microbiology-exam-review-2200-study-notes-quiz-concepts/id1135304634?mt=8";"Microbiology Exam Review : 2200 Study Notes, Quiz & Concepts explained ";1135304634;"Medical";"Microbiology Exam Review : 2200 Study Notes, Quiz & Concepts explainedWith this app you can learn on the Go, Anytime & Everywhere. The learning & understanding process never been so easy like with our 5 study modes embedded in this app.This app is a combination of sets, containing practice questions, study cards, terms & concepts for self learning & exam preparation on the topic of Microbiology. Our Learners get the best, that's why they don't just meet standards, They exceed them.Remember that you should get the Skills you need to land the job you want.Invest in your Success Now. Your investment in knowledge, professionalism & expertise is durable  & with a High value added.  It's a High return investment.This app is also suitable for  students, researchers, resident, doctors, Anatomy & physiology specialists, nurses and medical professionals and of course Medical lecturers, teachers and professors.Get a better score in your  USMLE  (step1, step2  CS & CK), PANCE, MCAT, DAT, COMLEX,CNA, OAT, NBDE,  or PCAT exam, and the most important  is to fall in love with the material, it worth all the attention.National League for Nursing Pre-Admission Exam (NLN PAX-RN/PN)Test of Essential Academic Skills (TEAS)Health Occupations Basic Entrance Test (HOBET)Health Education Systems, Inc Exam (HESI) A2Psychological Services Bureau Registered Nursing School Aptitude ExamPsychological Services Bureau Aptitude for Practical Nursing ExamThis educational & medical application is intended to NP, CNA, PAX, RN, and also for:ANP - Adult Nurse PractitionerFNP - Family Nurse PractitionerA-GNP - Adult-Gero Primary Nurse PractitionerANP-BC Adult Nurse PractitionerFNP-BC Family Nurse PractitionerPNP-BC Pediatric Nurse PractitionerACNP-BC Acute Care Nurse PractitionerGNP - BC Gerontological Nurse PractitionerPMHNP-BC Adult Psychiatric and Mental Health Nurse PractitionerPMHNP-BC Family Psychiatric and Mental Health Nurse PractitionerCNRN®SCRN®and also for USMLE, COMLEX, ANCC Certification Center, TEAS, HESI A2, NET, DET, PSB/HOAE, PAX-RN, HOBET, PAX RN, PSB. Hestotechnician, phlebotomist, CDM, Hospice and Palliative,  Medical Surgical.-The Content & design of this application is developed by Teachers & students to satisfy the exact candidates needs-We keep the application as simple as possible to let the learner focus only on the content-The Flashcards are exam oriented and designed to enhance quick memorization-The application is designed to let you gain time and efficiency-The Flashcards wording enhances easy understanding to ensure higher exam score. In this application you will get over 20 Exam sets.This App  energized your creativity, showcases your talents and strength your self-confidence during the exam & daily work.You will get better understanding, less preparation time & a better score in the exam.Main Features:- Works perfectly Offline- Dedicated Exam questions and study notes- 5 study modes- Shareable content- Settings: with flexibility to change font size & background control.This application allows you to expand your knowledge, widen your expertise, improve your practice skills, Broaden your academic & career horizons.Disclaimer 1: This application is not dedicated for a specific professional certification, it's just a tool to assist students & professionals to expand their knowledge & in-depth their expertise. Disclaimer 2:The publisher of this iOS application, is not affiliated with or endorsed by any testing organization. All organizational and test names are trademarks of their respective owners. The content of the application might include inaccuracies or typographical errors, for which the owner can not be held liable.";"Microbiology Exam Review : 2200 Study Notes, Quiz & Concepts explained, Tourkia CHIHI, Education, Medical, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"1.0";12;"English";"1105976811";"Tourkia CHIHI";"https://itunes.apple.com/us/developer/tourkia-chihi/id1105976811?mt=8";2,99;"$";16,5;2016-07-19;2016-07-19;NA;NA;NA;NA;NA;NA;NA;2018-10-19
"https://itunes.apple.com/us/app/onder-de-linde/id1347118279?mt=8";"Onder De Linde ";1347118279;"Both";"Speciaal voor jou, een app van Praktijk Onder De Linde in Haarlem. Deze app biedt je de mogelijkheid om snel contact met ons op te nemen op verschillende manieren, laat je zien welke diensten we aanbieden en laat je deze ook direct inplannen.Je vindt hier ons nieuwsoverzicht zodat je altijd op de hoogte bent van de laatste nieuwtjes. En er staat nog veel meer op de planning voor de komende periode. We blijven deze app dus regelmatig updaten.";"Onder De Linde, Praktijk Onder De Linde, Medical, Health & Fitness, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"1.9";17;"English";"1347118278";"Praktijk Onder De Linde";"https://itunes.apple.com/us/developer/praktijk-onder-de-linde/id1347118278?mt=8";0;NA;47,1;2018-05-23;2018-05-23;NA;NA;NA;NA;NA;NA;NA;2018-10-19
