"";"average.rating";"category";"pegi";"description";"devname";"price";"version";"lastupdate"
"1";NA;"Health & Fitness";17;"We are #MUMO – an app and a movement! #MUMO stands for “Mess Up / Miss Out!” #MUMO is what can happen to teens who have FOMO.Maybe you’ve heard of #FOMO - Fear of Missing Out.  The reality is that if you “mess up” by making risky choices, those decisions can impact the rest of your life. And then you’ll really miss out. How do you make those good choices? Information. We’re here to give you that information with straight talk mixed with a little fun.  Whether its sex, drinking, smoking, drugs or mental health issues, #MUMO provides interactive resources and information for teens (and adults) at your fingertips.   Download #MUMO and you will discover special offers & discounts, quizzes about facts and myths, hotline #’s to call, resources, tips for parents and teens, conversation starters, treatment options and so much more.And it was developed by the Somerset County (Maryland) Health Department, so you can be sure the information is trustworthy. And if you need an ear, we’re here for you. Call us: 443-523-1760. No one wants to mess up and miss out – turn to #MUMO and there will be no more FOMO!";"Gregory Panos";0;"1.0";1472774400
"2";4,6;"Health & Fitness";4;"***New Healthkit Integrations*** Integration with Health Kit for tracking calories and workout. Syncs seamlessly to your activity in healthkit. Workouts from both Apple Watch and iPhone will track your calorie burn and workout time and count it towards your activity ring.+Tracks your heart rate and calories right from the 1 More Rep Apple Watch App!I bet you struggle finding time to get in a good long workout - 1 More Rep helps you fit in bits and pieces here and there. +Setup motion trackers that will automatically count your reps for you+Create completely customizable workouts+Lots of customization for your workout screen+Assign icons to each exercise you create to help keep your organized.+Ad free!+Setup goals for your exercises and get results that you deserve!+Setup reminders to help keep your goal!Counting reps can be annoying and it can be easy to lose track. 1 More rep does this for you for just about any exercise you can think of. Here are a list of ways you can use 1 More Rep to track your exercises and improvements.Setup a situp tracker using motion data. Hold your phone against your chest and record your motion.Want to sprint for 30 seconds to get your heart rate going? Setup another exercise. Call it ""30s sprint"", include it in your workout line up and set your goal to 30 seconds.Want to record your pushups? Setup a workout and call it ""pushups"". Add the proximity tracker to your workout and add it to your lineup. Put your phone under your chest with the camera facing your chest. 1 More rep will now automatically count your pushups and how quickly you do them so you can see your improvements.1 More Rep was made as a one in all solution for creating your own fun personalized workouts with low hassle of tracking improvements. IF YOU DO NOT SET GOALS YOU WILL NOT MAKE IMPROVEMENTS! 1 More Rep helps you set goals and monitor your progress towards those goals.";"Creative Greenlight LLC";4,99;"1.19";1526601600
"3";NA;"Health & Fitness";12;"This 100 exercise tips App1 to 25 exercise tips26 to 50 exercise tips51 to 75 exercise tips75 to 100 exercise tipsVideoHow to the 100 exercise in pilatesBeginning Pilates Exercises : The 100's Pilates Exercise3 Best Tips for Running 100-Meter Dash | SprintingHow to do the 100 exercise on a mat : Pilates Exercises 2100 Different Push-Up ExercisesPump Up to 100 - Exercise to Learn - Pump Up to 100Fitness Blender 100 Rep Workout - Toning & Weight Loss Workout Challenge100 REP BACK EXERCISE - BODY MECHANICS - HELPFUL TIPS10-min Beginner Abs & Core Medicine Ball Workout 50-100 CaloriesThe 100 Workout | POP PilatesDownload and Enjoy reading 100 exercise tips";"Sam Sawalhi";3,99;NA;NA
"4";NA;"Health & Fitness";4;"Chant 108 Names of lord Vishnu everyday to be happy in life.";"Dipen Ambalia";0;"1.0";1453852800
"5";NA;"Health & Fitness";4;"108 names of lord Ganesh will bring peace, prosperity and good health to you and your family.Listen to 108 names of lord Ganesha and feel one with lord Ganesha.Ganesha also known as Ganapati and Vinayaka, is one of the best-known and most worshipped deities in the Hindu pantheon. His image is found throughout India, Sri Lanka and Nepal. Hindu sects worship him regardless of affiliations. Devotion to Ganesha is widely diffused and extends to Jains and Buddhists.Although he is known by many attributes, Ganesha's elephant head makes him easy to identify. Ganesha is widely revered as the remover of obstacles, the patron of arts and sciences and the deva of intellect and wisdom. As the god of beginnings, he is honoured at the start of rituals and ceremonies. Ganesha is also invoked as patron of letters and learning during writing sessions. Several texts relate mythological anecdotes associated with his birth and exploits and explain his distinct iconography.Ganesha emerged as a distinct deity in the 4th and 5th centuries CE, during the Gupta Period, although he inherited traits from Vedic and pre-Vedic precursors. He was formally included among the five primary deities of Smartism (a Hindu denomination) in the 9th century. A sect of devotees called the Ganapatya arose, who identified Ganesha as the supreme deity. The principal scriptures dedicated to Ganesha are the Ganesha Purana, the Mudgala Purana, and the Ganapati Atharvashirsa.Key Features:=  Very good and simple User Interface=  Very Soothing Flowers coming on the screen randomly=  Very good quality of sound=  Image change in 5 seconds so that you get to see more images every minute=  Temple Bells and Shankh to give you a Temple-like experience.=  Gives you a very peaceful experience.=  Used by Top celebrities from Bollywood and Glitterati.";"Dipen Ambalia";0;"4";1466294400
"6";NA;"Health & Fitness";4;"The 12 Week Fitness Pro App was built from the ground up and has been designed to quickly add in workout information easily without losing quality time during your workouts. The app is for anyone! If you are a beginner starting with recreational fitness activity or a competing professional body builders, this app was made to incorporate both.• Completely New Design, Reimagined from the ground up• Updated Graphics and Performance to match IOS 11• New Quick Start Menu• New Profile View• Profile Includes editable Weight Goals with Calculations, Current Location & Progress Photos• The ability to Schedule and Save Workouts for Future Days with custom names• All New Calendar with Color coded Calendar Logic to quickly know which muscle groups were worked each dayThis basic guide has already helped thousands lose weight, gain muscle, look younger and feel better.**** PLEASE NOTE: This app is officially supported on the following devices: iPhone 5-X Series, iPod Touch 6th gen.**** ""CHECK OUT OUR Website for Future Updates and feel free to email any suggestions you may have to our support email address.""http://www.12weekfitnessapp.com";"Bruce Green";0,99;"3.8";1529107200
"7";NA;"Health & Fitness";4;"Get rid of the beer belly with this awesome 15 Minutes Total Body Active Workout Challenge. Moreover, work from home!! This is a great way to get a good muscle burn without doing a really high intensity cardio workout. With the Active-Static style of training you have a group of two different exercises that use a similar position and utilize the same muscle groups. For example, the first group of exercises in the workout video are a traditional push up and a plank. Both of these exercises utilize almost identical muscle groups, actually the only muscle group that is not used by both exercises is the triceps which is more predominately used in the push up and is either not used or only lightly used depending on the style of plank you choose to do.The term static means lack of movement. And as this term implies, with static training you take a weight and hold it in a fixed position for several seconds. This concept is based on the idea that by forcing the muscle to work only when it is maximally contracted and using the heaviest weight possible, you can optimize its growth potential. You have to admit that it makes sense. The question is, does it work?The answer is yes; it does work when used properly. This is due mainly to the overload that's involved, as well as to the unique stimulus with which it jolts the muscle.When you train using a full ROM, the amount of weight you can use is limited by your sticking point—the point in the exercise ROM where you're weakest. You can only use as much weight as you can lift through that sticking point. With static contractions, you eliminate the sticking point, so you can overload the muscle fibers with as much weight as you can hold for at least 10 seconds in a particular muscle's strongest position.Static contraction training may seem like a new concept, but it's hardly a radical, untested training philosophy.";"Cristina Gheorghisan";0;"1.3";1485648000
"8";4,2;"Health & Fitness";4;"The 17 Day Diet Blog App is filled with everything you need to know about the 17 Day Diet!In this 17dd Blog app, you'll find all food lists for Cycles 1, 2, and 3 of the 17 Day Diet.  You'll also find sample meal plans and menus, recipes, diet tips and more!";"TL Media LLC";0;"1.2.1";1450051200
"9";5;"Health & Fitness";4;"Why is this yoga app different? Because these short, 19 minute classes are audio-first, so no more craning your neck–and falling out of alignment–to watch a video. This class is about you. In the same time it takes to hit the snooze button twice, you’ll flow from tree pose to savasana. For reference, classes include watercolor illustrations of each pose. The illustrations are designed to support your practice, but always listen to your body above anything else. Also, anytime you need a break, gently release a pose and come into a position that feels comfortable for you.Yoga looks and feels different in every body. Each person expresses a pose in a unique way. Your instructor, Niki, will be there to guide you with step-by-step instruction, but always do what feels good for you. Moving with intention and connecting with your breath–that is yoga. When you bring your attention inward, you’re practicing yoga.Developing a home yoga practice is empowering. It teaches you how to take care of yourself and practice with confidence anywhere, anytime.Enjoy a variety of classes in the Free Class Pass. Classes range in style and focus. Have fun and explore! When you’re ready, join me in a 19 Minute Yoga series or challenge.Namaste!Each class handmade with TLC by Nicole D'Alonzo.";"Victory Rituals, LLC";0;"1.6";1518652800
"10";NA;"Sports";4;"19th Hole is the golf scoring app for everyone.Whether you are playing for the club championship, having a weekend round with friends or playing pitch’n’putt with the kids, 19th Hole makes it easy to keep score.Designed for fast, accurate score keeping with a color scheme chosen for optimal outdoor viewing, 19th Hole uses a simple setup process and an intuitive, gesture-based score entry system. During and after the round, you can see totals and results using various methods: total strokes, total putts, match play (Irish match play for more than 2 players) & Stableford.If you have an Apple Watch, strokes for each player can be entered using the watch and totals can be quickly checked using the Apple Watch glance. Tap the box with the number text to the player's initials and use the digital crown to select the number of strokes.When using the Apple Watch app, start a workout when it is offered for best access to the app during a game. Alternatively, install the complication on your watch face as a quick launcher.When you have finished, you can archive the score card for future reference and email the completed card to your fellow players.No ads, no in-app purchases, no features missing - you get the complete app for the price of a couple of golf balls.If you like this app, please leave a rating or a review at the App Store. If you have a problem or want to suggest a new feature, please contact me directly so I can respond.";"Sarah Reichelt";4,99;"3.1";1462492800
