"URL";"Name";"ID";"Category";"Description";"Keywords";"Version";"Age.Rating";"Language.s.";"Developer.ID";"Developer.Name";"Developer.URL";"Price";"Currency";"Size";"Last.Update.Date";"Release.Date";"Average.user.rating";"Number.of.user.ratings";"X..of.user.ratings.with.5.stars";"X..of.user.ratings.with.4.stars";"X..of.user.ratings.with.3.stars";"X..of.user.ratings.with.2.stars";"X..of.user.ratings.with.1.star";"Date";"NC";"Across";"V1";"V2";"V3"
"https://itunes.apple.com/us/app/timer-tv/id1043844484?mt=8";"Timer TV";1043844484;"Health&Fitness";"Timer TV is the app you need in your living room, in your room, in the gym at school, at work, and anywhere can serve a comfortable and convenient timer on the TV screen. Use it at school during classes to mark the moments of class with those of pause; Use it at the gym to schedule sessions of exercises and allow athletes to better focus their energies; Use it at the university during the exams for your students; Use it in your company or in a convention to regulate more precisely the timing of the meetings give each speaker the scheduled time; Use it in the kitchen to cook your recipes at the right time and get the dishes cooked to perfection; use it in the evening when your children should brush your teeth for a perfect cleaning as they look pleased as long as you approach the end of the task.You can choose from three pre-set themes that fit perfectly to the various requirements: Steel: the professional theme, suitable for the workplace, sports and education. Energy: the perfect theme for physical activity, for cooking and fashion environments. Snow: the theme with a sophisticated aesthetic that fits perfectly in contemporary contexts as start-up companies, modern environments, houses with a sophisticated design.Quickly set an audible alarm (the tinkling of a bell) at the end of the countdown. Use the Play/Pause button of remote to start and pause the time. Set the timer time in according to your needs, from a few seconds up to twenty-three hours and fifty-nine minutes. Timer TV is designed to work as foreground app, when placed in the background using a different app or different services of the device, it automatically switches to pause.";"Timer TV, Apimac, Utilities, Health & Fitness, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"1.0";4;"English";320560024;"Ivan Gobbo";"https://itunes.apple.com/us/developer/apimac/id320560024?mt=8";4,99;"$";7,1;"2015-10-27";"2015-10-27";NA;NA;NA;NA;NA;NA;NA;"2018-10-25";1;0;"Cardiology";"MentalHealth&Neurology";"Pediatrics"
"https://itunes.apple.com/us/app/timerlist-interval-timer-for-yoga-running-cooking-meditation/id769031985?mt=8";"Timerlist - An Interval Timer for Yoga, Running, Cooking, Meditation, Workouts, Training, Practice T...";769031985;"Health&Fitness";"** Featured by Apple in over 150 countries **** Gizmodo's Favorite App of the Week **A beautiful and easy interval timer for your iPhone that works just like a playlist. Replace your 7 Minute Workout, Yoga, and other specialized apps with Timerlist!Elegant, strong, accurate. Use Timerlist for: Yoga, Interval Training, Running, Tabata, HIIT, Cooking, Meditation, Standardized Test Practice, Achieving Dreams.TOTAL CONTROL======================================- Navigate, edit and interact with any Timerlist--even when time is ticking.- Run multiple Timerlists at once. Great for cooking! Run a Timerlist for each dish or ingredient and become a master of the kitchen!- Available in 10 languages. Timerlist will speak countdowns and announce your upcoming timers in your language!- Power features include: swipe to delete, fast edits, and quickly closing windows.- Play announcements and sounds through your sound system using Airplay.INTUITIVE INTERFACE======================================- Large displays allow you to track your progress from across the room.- Three perspectives on time allow you to focus on what is important, when you need to.- Swipe right to start or pause. Swipe left to reset. It's that easy.- Nine handcrafted themes- Zen bells, bleeps and beeps will elevate you to a higher plane. - Proudly typeset in Gotham Narrow.STAY FOCUSED======================================- Set a BPM for any pace.- Set rest times to catch your breath. - Auxiliary views extend functionality. Track your speed and your overall progress while running.- No ads, ever.- Available for devices running iOS 7.0 and above- Need Help? Write us at support@straussmade.com or visit us at: http://www.timerlistapp.com/.";"Timerlist - An Interval Timer for Yoga, Running, Cooking, Meditation, Workouts, Training, Practice Tests, and Much More, Strauss LLC, Health & Fitness, Utilities, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"1.1.3";4;"English, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish";769031988;"Strauss LLC";"https://itunes.apple.com/us/developer/strauss-llc/id769031988?mt=8";0;NA;32,2;"2015-02-20";"2014-03-26";3,9;18;56;6;22;6;11;"2018-10-25";1;0;"MentalHealth&Neurology";"Nutrition";"SleepAndRespiratoryCare"
"https://itunes.apple.com/us/app/timeshifter/id1380684374?mt=8";"Timeshifter®";1380684374;"Health&Fitness";"Used by astronauts, elite athletes, and top CEOs, Timeshifter is the most advanced jet lag tool available.Travel + Leisure: ""This jet lag app will help you adjust to new time zones quickly""The Wall Street Journal: ""Indispensable app for business travelers""CNBC: ""Innovative new travel app that saves time and money""Generic jet lag advice is, well generic. It wont reduce your jet lag and can actually make it worse. Each traveler and trip is different and requires a personalized approach taking your sleep pattern, chronotype, flight plan, and a range of personal preferences into account.Timeshifter is developed with Harvard Medical School Associate Professor Steven Lockley, Ph.D., and based on the latest research in sleep and circadian neuroscience.Timeshifter not only provides advice to alleviate the disruptive symptoms of jet lag such as insomnia and sleepiness, but addresses the underlying circadian disruption by rapidly resynchronizing the circadian clock to the new time zone.The Timeshifter algorithm is the most advanced of its kind:// Based on the latest research in sleep and circadian neuroscience// Practicality filter adjusts advice to the ""real world""// Quick turnaround advice for short business trips// You can start adapting even before your departure// Notification system offers advice - even without opening the app// Works well across all times zones - even offline and in-flightWhen you use Timeshifter for the first time, you will quickly realize how many things you could have done differently in the past. Its a highly empowering experience, and it requires no special equipment. Just bring a sleep mask and your favorite sunglasses.Join the community of timeshifters around the world who demand a better travel experience. Whether youre traveling for business, going on vacation, or competing in a sports event abroad - with this app, you will arrive ready to go.This app offers in-app purchases. Purchase individual jet lag plans as-you-go or pick the annual subscription for unlimited plans. Payment will be charged to your iTunes account at confirmation of purchase. Subscription automatically renews unless auto-renew is turned off at least 24 hours before the end of the current period. Account will be charged for renewal within 24 hours prior to the end of the current period. You can manage your subscription and auto-renewal may be turned off by going to your Apple account settings after the purchase.Read our Terms of Use at www.timeshifter.com/terms/terms-of-use/";"Timeshifter®, Timeshifter Inc., Travel, Health & Fitness, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"1.2.2";12;"English";1380684373;"Timeshifter Inc.";"https://itunes.apple.com/us/developer/timeshifter-inc/id1380684373?mt=8";0;NA;48,9;"2018-10-18";"2018-05-22";4,7;33;88;3;3;3;3;"2018-10-25";1;0;"MentalHealth&Neurology";"SleepAndRespiratoryCare";"GinecologyAndObstetrics"
"https://itunes.apple.com/us/app/timesmed/id1156997421?mt=8";"TimesMed";1156997421;"Both";"TIMESMED is a comprehensive healthcare platform for both Doctors / Hospital and Patients. It enables doctors to seamlessly manage their appointments, and patients to find and book appointments with doctors. TIMESMED is the ideal SAAS for doctors to manage their practice.Apart from appointment scheduling, TIMESMED offers  doctors Online Consultation , where consultation happens over the phone   as video  and Text based chat. TIMESMED also uses Googles location-based map service to consult and provide healthcare and healthcare-related services at Home along with Online Medicines, Health Packages and Lab Tests and importantly User App to maintain user Health Records.In summary, TIMESMED is a holistic healthcare platform with seamless integration of all modules enabling paperless practice.   a Perfect Healthcare platform connecting  doctors / Hospitals,  Healthcare professionals and the patients.";"TimesMed, Imtiaz Ahmed, Health & Fitness, Medical, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"2.0";4;"English";734418879;"Imtiaz Ahmed";"https://itunes.apple.com/us/developer/imtiaz-ahmed/id734418879?mt=8";0;NA;59;"2018-07-31";"2016-09-25";NA;NA;NA;NA;NA;NA;NA;"2018-10-25";1;0;NA;NA;NA
"https://itunes.apple.com/us/app/timespace-four/id1286164293?mt=8";"TimeSpace Four";1286164293;"Health&Fitness";"TimeSpace Four is focused on further cultivation of the dimensional double (dream body), exploring a synchronous group ride directly to the Sun, facing the Sun and reconnecting with the Sun drawing its energy and intelligence in order to uplift and transform our consciousness. We will journey in the Astral body, navigating together synchronously  and coming back to the Earth reality and to the Local Reality.This app is developed as an upcoming series of 7 TimeSpace rides to reawaken and cultivate our SuperMind capacities. Result of TimeSpace rides:- Deep state of peace, balance and mind clarity- Receive new perceptions and vision- Remembering forgotten powers- Cultivation of astral or time travel- Experiencing the interconnection of yourself with Universal energies- Enhance lucid dreamingReality is the dream. Memory is the Reality.The Science behind synchronized meditation:It has been observed many times that when a group of people synchronize with common intention, it manifests. This system allows for perfect synchronization by using atomic clocks and GPS signals worldwide to create a powerful, positive impact on the planet by synchronizing brainwaves of unlimited groups of participants.";"TimeSpace Four, Inforce Group, Health & Fitness, Lifestyle, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"1.0.2";4;"English";1168552239;"Inforce Group, LLC";"https://itunes.apple.com/us/developer/inforce-group/id1168552239?mt=8";0;NA;637;"2018-01-02";"2017-09-23";NA;NA;NA;NA;NA;NA;NA;"2018-10-25";1;0;"SleepAndRespiratoryCare";"MentalHealth&Neurology";"SensorySystemsHealthcare"
"https://itunes.apple.com/us/app/timespace-one/id1168552240?mt=8";"TimeSpace One";1168552240;"Health&Fitness";"Using the most advanced technology to synchronize brainwaves, TimeSpace One is the most powerful interactive meditation app ever created! It is the first app to introduce us to synchronous mental state and mind field. Journey with us to the Bridge that connects all time and space!This app is developed as an upcoming series of 7 TimeSpace rides to reawaken and cultivate our SuperMind capacities. Result of TimeSpace rides:- Deep state of peace, balance and mind clarity- Receive new perceptions and vision- Remembering forgotten powers- Cultivation of astral or time travel- Experiencing the interconnection of yourself with Universal energies- Enhance lucid dreamingReality is the dream. Memory is the Reality.The Science behind synchronized meditation:It has been observed many times that when a group of people synchronize with common intention, it manifests. This system allows for perfect synchronization by using atomic clocks and GPS signals worldwide to create a powerful, positive impact on the planet by synchronizing brainwaves of unlimited groups of participants. Synchronized intention for positive transformation!";"TimeSpace One, Inforce Group, Health & Fitness, Lifestyle, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"1.0.2";4;"English";1168552239;"Inforce Group, LLC";"https://itunes.apple.com/us/developer/inforce-group/id1168552239?mt=8";0;NA;650;"2018-01-02";"2017-08-11";4,2;5;40;0;20;40;0;"2018-10-25";1;0;"MentalHealth&Neurology";"SensorySystemsHealthcare";"SleepAndRespiratoryCare"
"https://itunes.apple.com/us/app/timetime-pro/id1137403058?mt=8";"TimeTime Pro";1137403058;"Health&Fitness";"A beautiful and easy to use timer and stopwatch made for professionals.Measure time in milliseconds with this professional stopwatch.You can save your measured time and export or import them in multiple ways.For the timer, you can save multiple times that you can reuse anytime you want.The timer and stopwatch can be used in landscape. This makes it very easy to place your device anyway you want and you can still easily see the time.Stopwatch:- Measure time in milliseconds.- Count lap time.- Save your measured times.- Sort your measured times by date or title.- Change your date format at any time even after you have saved your measured times.- Save your measured times as PDF.- Export or import your times using AirDrop, iTunes, or email.- Share your measured times by Facebook or Twitter.- Print you measured times.- Transfer your measured times to any device using AirDrop.Timer:- Just tap on the numbers, choose a time, and go. Simple and easy.- Save multiple times for future use. Just choose a time and save it.- Easy to edit and delete any saved time.- Edit time any time. Just pause the timer and change the time.App Preview: Music by audionautix.com. Released under Creative Commons License 3.0.";"TimeTime Pro, Franz Bezjak, Health & Fitness, Utilities, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"1.2.1";4;"English, German";1090135491;"Franz Bezjak";"https://itunes.apple.com/us/developer/franz-bezjak/id1090135491?mt=8";0;NA;23,2;"2018-02-15";"2017-05-17";NA;NA;NA;NA;NA;NA;NA;"2018-10-25";1;0;"Surgery";NA;NA
"https://itunes.apple.com/us/app/timi-scores/id317380038?mt=8";"TIMI Scores";317380038;"Medical";"This App contains the following three TIMI calculators:1. TIMI Score for unstable angina and non-ST elevation myocardial infarction (UA & NSTEMI)2. TIMI Score for ST elevation myocardial infarction (STEMI)3. TIMI Risk IndexThe TIMI risk calculators are based on clinical trial data and used clinical parameters to predict short-term risks for developing adverse outcomes. The TIMI risk calculators are helpful in risk stratifying and managing patients with acute coronary syndromes (ACS).Features- Information screen contains a short description of the clinical utility and the risks for adverse outcomes.- Unique on-screen numeric keypad for easy entry with control over transparency.- References are provided with links to abstracts in PubMed.";"TIMI Scores, USquare Soft Inc., Medical, Reference, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";NA;4;"English";310871236;"Chi-Ming Chow";"https://itunes.apple.com/us/developer/usquare-soft-inc/id310871236?mt=8";0;NA;0,293;NA;NA;3,1;36;31;22;22;6;19;"2018-10-25";1;0;"Cardiology";"MentalHealth&Neurology";NA
"https://itunes.apple.com/us/app/timipatient/id1439247799?mt=8";"TimiPatient";1439247799;"Health&Fitness";"TimiPatient is the app where patients, who have enrolled in the TimiHealth Data Exchange Program, can access their medical records, visit schedules and test results from multiple facilities. App Features:- Demographics- Medical History- Test Results- Previous Visit Information- Next visit schedules and reminders- Medication ListPatients can scan barcodes of their medications and have them automatically upload to TimiPatient.With the Emergency Info feature, the patient's critical information is provided at a single place.  The following life-saving information is provided:  blood group, major diseases and allergies, emergency contact, doctor's contact information.With the app, the patient can also control the enrollment to the TimiHealth Network and manage rewards for data sharing.";"TimiPatient, Timi Group Inc., Health & Fitness, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";NA;17;"English";1439247798;"Timi Group Inc";"https://itunes.apple.com/us/developer/timi-group-inc/id1439247798?mt=8";0;NA;72,2;NA;NA;5;7;100;0;0;0;0;"2018-10-25";1;0;NA;NA;NA
"https://itunes.apple.com/us/app/tine-health-for-ipad/id1202529894?mt=8";"Tine Health for iPad";1202529894;"Medical";"Tine Health app allows you to log in with your corporate email address and scan Tine Health tags.  This app is for Tine Health's healthcare partners who have deployed Tine Health solution in their hospital system.";"Tine Health for iPad, Pristine Solutions, Inc, Productivity, Medical, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"1.1";12;"English, Catalan, French, German, Italian, Portuguese, Spanish";918262000;"Pristine Solutions, Inc";"https://itunes.apple.com/us/developer/pristine-solutions-inc/id918262000?mt=8";0;NA;43,4;"2017-09-15";"2017-02-06";NA;NA;NA;NA;NA;NA;NA;"2018-10-25";1;0;NA;NA;NA
