939172681|AA|CCRN|Critical Care Registered Nurse|1|4|7|30|335:4
939172681|MMI|26.18|Care of intensive care unit patient|C0010337|[hlca]|["Critical Care"-tx-1-"Critical Care"-noun-0,"Critical Care"-tx-1-"Critical care"-noun-0]|TX|303/13;123/13|E02.760.190;N02.421.585.190
939172681|MMI|20.95|Accident and Emergency department|C0562508|[hcro]|["Emergency Departments"-tx-1-"emergency departments"-noun-0]|TX|224/21|N02.278.216.500.968.336;N02.421.297.195;N04.452.442.422.336
939172681|MMI|14.64|Intensive therapy nurse (occupation)|C0586960|[bmod]|["Critical Care Nursing"-tx-1-"Critical Care Nursing"-noun-0]|TX|1/21|H02.478.676.175;N02.421.533.149
939172681|MMI|14.64|intensive care unit|C0021708|[hcro,mnob]|["Intensive care units"-tx-1-"intensive care units"-noun-0]|TX|254/20|N02.278.388.493
939172681|MMI|13.08|Discipline of Nursing|C0028677|[bmod]|["Nursing Field"-tx-1-"field nursing"-noun-0]|TX|30/5,39/7|H02.478;N04.452.758.377
939172681|MMI|12.89|Critical Illness|C0010340|[dsyn]|["Critically Ill"-tx-1-"critically ill"-adj-1]|TX|86/14|C23.550.291.625
939172681|MMI|9.74|Adult|C0001675|[aggp]|["ADULT"-tx-1-"Adult"-noun-0]|TX|446/5|M01.060.116
939172681|MMI|7.13|Medical Specialities|C0037778|[bmod]|["Specialty"-tx-1-"specialties"-noun-0]|TX|203/11|H02.403
939172681|MMI|5.18|Pass (indicator)|C2828386|[fndg]|["Pass"-tx-1-"pass"-verb-1]|TX|294/4|
939172681|MMI|3.69|Respiratory Therapist, Certified - Neonatal/Pediatrics|C1552321|[prog]|["Neonatal/Pediatrics"-tx-1-"Neonatal Pediatric"-adj-0]|TX|422/8,432/9|
939172681|MMI|3.69|Respiratory Therapist, Registered - Neonatal/Pediatrics|C1552335|[prog]|["Neonatal/Pediatrics"-tx-1-"Neonatal Pediatric"-adj-0]|TX|422/8,432/9|
939172681|MMI|3.48|General medical service|C3812897|[hlca]|["General"-tx-1-"General"-adj-0]|TX|413/7|
939172681|MMI|3.48|Registered nurse|C0687673|[prog]|["Registered Nurse"-tx-1-"Registered Nurse"-noun-0]|TX|317/16|
939172681|MMI|3.47|Test request|C1273874|[hlca]|["Test Question"-tx-1-"test questions"-noun-0]|TX|383/14|
939172681|MMI|3.46|Unstable status|C0443343|[fndg]|["Unstable"-tx-1-"unstable"-adj-1]|TX|104/8|
939172681|MMI|3.43|Medical Examination|C0582103|[hlca]|["Exam"-tx-1-"exam"-noun-0]|TX|481/4|
589066615|MMI|175.04|Coding|C0009219|[ocac]|["code"-tx-9-"code"-noun-0,"code"-tx-9-"codes"-verb-0,"code"-tx-8-"code"-noun-0,"code"-tx-6-"code"-verb-0,"code"-tx-4-"codes"-verb-0,"code"-tx-3-"code"-noun-0,"Coding"-tx-2-"coding"-adj-0]|TX|759/4;828/5;579/4;507/4;396/5;151/4;100/6|N04.452.758.708.200.400.500;N04.452.859.564.274;N05.715.360.300.715.500.249;N06.850.520.308.940.968.249
589066615|MMI|51.70|Date Fruit|C2348077|[food]|["DATE"-tx-6-"date"-adj-0,"DATE"-tx-4-"date"-adj-0]|TX|502/4;391/4|B01.650.940.800.575.100.093.615
589066615|MMI|20.95|Vision|C0042789|[orgf]|["see"-tx-8-"See"-verb-0]|TX|643/3|F02.830.816.964;G02.111.087.800.480.900;G02.149.115.800.480.900;G04.299.880.480.900;G11.561.600.810.964;G14.640.816
589066615|MMI|19.90|Health Care|C0086388|[hlca]|["HealthCare"-tx-10-"healthcare"-noun-0,"HealthCare"-tx-9-"healthcare"-noun-0]|TX|930/10;853/10|N04.590.374;N05.300
589066615|MMI|16.09|Periodontitis, Juvenile|C0031106|[dsyn]|["PPP"-tx-10-"PPP"-noun-0]|TX|926/3|C07.465.714.533.161
589066615|MMI|16.02|Fasting|C0015663|[fndg]|["Fast"-tx-4-"faster"-adj-0]|TX|230/6|F01.145.407.400;G07.203.650.240.587;G07.203.650.353.400
589066615|MMI|13.37|History|C0019664|[ocdi]|["History"-tx-9-"history"-noun-0,"History"-tx-8-"history"-noun-0]|TX|695/7;651/7|K01.400
589066615|MMI|13.05|Hand|C0018563|[bpoc]|["HAND"-tx-4-"hand"-noun-0]|TX|405/4|A01.378.800.667
589066615|MMI|12.93|United Nations|C0041701|[orgt]|["UN"-tx-7-"un"-noun-0]|TX|531/2|N03.540.514.718
589066615|MMI|7.02|History of present illness|C0262512|[orga]|["History, NOS"-tx-9-"history"-noun-0,"History, NOS"-tx-8-"history"-noun-0]|TX|695/7;651/7|
589066615|MMI|7.02|History of previous events|C2004062|[fndg]|["History"-tx-9-"history"-noun-0,"History"-tx-8-"history"-noun-0]|TX|695/7;651/7|
589066615|MMI|7.02|Medical History|C0262926|[fndg]|["History"-tx-9-"history"-noun-0,"History"-tx-8-"history"-noun-0]|TX|695/7;651/7|
589066615|MMI|5.18|Finding|C0243095|[fndg]|["Find"-tx-1-"find"-verb-0]|TX|19/4|
589066615|MMI|3.68|Interventional procedure|C0184661|[topp]|["Procedure"-tx-9-"procedure"-noun-0]|TX|818/9|
589066615|MMI|3.68|Physical Medical Procedure|C3274430|[hlca]|["PROCEDURE"-tx-9-"procedure"-noun-0]|TX|818/9|
589066615|MMI|3.68|Specialty Group|C1552516|[hcro]|["Group"-tx-10-"group"-noun-0]|TX|881/5|
