"";"x"
"1";"Health & Fitness"
"2";"Health & Fitness"
"3";"Health & Fitness"
"4";"Health & Fitness"
"5";"Health & Fitness"
"6";"Health & Fitness"
"7";"Health & Fitness"
"8";"Health & Fitness"
"9";"Health & Fitness"
"10";"Sports"
"11";"Health & Fitness"
"12";"Medical"
"13";"Health & Fitness"
"14";"Education"
"15";"Medical"
"16";"Health & Fitness"
"17";"Health & Fitness"
"18";"Medical"
"19";"Health & Fitness"
"20";"Health & Fitness"
"21";"Health & Fitness"
"22";"Health & Fitness"
"23";"Health & Fitness"
"24";"Health & Fitness"
"25";"Health & Fitness"
"26";"Medical"
"27";"Health & Fitness"
"28";"Medical"
"29";"Health & Fitness"
"30";"Health & Fitness"
"31";"Health & Fitness"
"32";"Health & Fitness"
"33";"Health & Fitness"
"34";"Health & Fitness"
"35";"Medical"
"36";"Health & Fitness"
"37";"Health & Fitness"
"38";"Health & Fitness"
"39";"Health & Fitness"
"40";"Health & Fitness"
"41";"Health & Fitness"
"42";"Health & Fitness"
"43";"Health & Fitness"
"44";"Health & Fitness"
"45";"Medical"
"46";"Health & Fitness"
"47";"Health & Fitness"
"48";"Health & Fitness"
"49";"Health & Fitness"
"50";"Health & Fitness"
"51";"Sports"
"52";"Health & Fitness"
"53";"Health & Fitness"
"54";"Health & Fitness"
"55";"Medical"
"56";"Health & Fitness"
"57";"Health & Fitness"
"58";"Health & Fitness"
"59";"Health & Fitness"
"60";"Health & Fitness"
"61";"Medical"
"62";"Health & Fitness"
"63";"Health & Fitness"
"64";"Health & Fitness"
"65";"Medical"
"66";"Medical"
"67";"Health & Fitness"
"68";"Health & Fitness"
"69";"Health & Fitness"
"70";"Medical"
"71";"Health & Fitness"
"72";"Health & Fitness"
"73";"Health & Fitness"
"74";"Health & Fitness"
"75";"Health & Fitness"
"76";"Medical"
"77";"Health & Fitness"
"78";"Medical"
"79";"Health & Fitness"
"80";"Health & Fitness"
"81";"Health & Fitness"
"82";"Health & Fitness"
"83";"Medical"
"84";"Lifestyle"
"85";"Lifestyle"
"86";"Health & Fitness"
"87";"Health & Fitness"
"88";"Medical"
"89";"Medical"
"90";"Health & Fitness"
"91";"Shopping"
"92";"Health & Fitness"
"93";"Medical"
"94";"Health & Fitness"
"95";"Lifestyle"
"96";"Lifestyle"
"97";"Medical"
"98";"Games"
"99";"Medical"
"100";"Medical"
"101";"Health & Fitness"
"102";"Finance"
"103";"Health & Fitness"
"104";"Health & Fitness"
"105";"Health & Fitness"
"106";"Medical"
"107";"Medical"
"108";"Lifestyle"
"109";"Medical"
"110";"Health & Fitness"
"111";"Weather"
"112";"Health & Fitness"
"113";"Food & Drink"
"114";"Medical"
"115";"Health & Fitness"
"116";"Health & Fitness"
"117";"Health & Fitness"
"118";"Health & Fitness"
"119";"Health & Fitness"
"120";"Health & Fitness"
"121";"Medical"
"122";"Medical"
"123";"Lifestyle"
"124";"Medical"
"125";"Health & Fitness"
"126";"Health & Fitness"
"127";"Health & Fitness"
"128";"Games"
"129";"Health & Fitness"
"130";"Health & Fitness"
"131";"Social Networking"
"132";"Finance"
"133";"Health & Fitness"
"134";"Medical"
"135";"Health & Fitness"
"136";"Medical"
"137";"Entertainment"
"138";"Medical"
"139";"Lifestyle"
"140";"Health & Fitness"
"141";"Health & Fitness"
"142";"Food & Drink"
"143";"Health & Fitness"
"144";"Health & Fitness"
"145";"Health & Fitness"
"146";"Health & Fitness"
"147";"Health & Fitness"
"148";"Medical"
"149";"Sports"
"150";"Sports"
"151";"Sports"
"152";"Health & Fitness"
"153";"Health & Fitness"
"154";"Health & Fitness"
"155";"Health & Fitness"
"156";"Health & Fitness"
"157";"Health & Fitness"
"158";"Health & Fitness"
"159";"Medical"
"160";"Health & Fitness"
"161";"Health & Fitness"
"162";"Health & Fitness"
"163";"Health & Fitness"
"164";"Health & Fitness"
"165";"Health & Fitness"
"166";"Health & Fitness"
"167";"Lifestyle"
"168";"Health & Fitness"
"169";"Health & Fitness"
"170";"Health & Fitness"
"171";"Health & Fitness"
"172";"Health & Fitness"
"173";"Food & Drink"
"174";"Health & Fitness"
"175";"Health & Fitness"
"176";"Health & Fitness"
"177";"Lifestyle"
"178";"Health & Fitness"
"179";"Medical"
"180";"Health & Fitness"
"181";"Health & Fitness"
"182";"Health & Fitness"
"183";"Health & Fitness"
"184";"Health & Fitness"
