"Description";"NC 1/0"
"Are you experiencing an unpleasant off-white discharge with a distinct odor? Do you douche and/or have multiple sexual partners? If so, you just might have bacterial vaginosis. What is bacterial vaginosis? We ve got the answer! 

Our app is geared towards providing you with an array of information about the condition, including causes, symptoms and treatments. We ve got everything you need to know! Download this app today to learn what causes BV and how to get rid of bacterial vaginosis!";1
"BLOOM is the revalidation app for registered nurses and midwives in the UK. It helps nurses complete the revalidation process required by the Nursing and Midwifery Council and allows other nursing professionals to demonstrate their safe and effective practice.  

  Our app helps you create an e-portfolio of revalidation evidence easily and effectively.
  It allows you to download evidence in the NMC required format.
  You can summarise your progress on an easy-to-read dashboard.
  Maintain your NMC registration without any hassle. 
  Use our forms and templates to record your nurse revalidation process. 

If you have any questions or recommended improvements or features, please contact us at:
support@ukbloom.com";0
"""  Treat Flu Without Medications with Traditional Chinese Massage Points 
  Easily find the right Massage Points with simple Full HD Videoclips and Photos 
  Never forget a Massage with a built-in Reminder 

""""In short, it [Acupressure] provides maximum benefits without the dangerous side effects associated with many of the approaches of conventional medicine."""" 
-William Michael Cargile, B.S., D.C., F.I.A.C.A., Chairman of Research for the American Association of Acupuncture and Oriental Medicine 

The Flu Acupressure is perfectly suitable for you with these immediate benefits: 

  You do not need to spend time visiting a doctor. 
  You do not need to spend a considerable amount of money. 
  There is no danger of being hurt or hurt your child, infected or experiencing pain. 
  You massage the points gently with your own finger. 
  The app reminds you automatically of your massage appointments. 

Here is what you can get from the App right now: 
  Get immeditate help with Flu
  Stay protected against viruses
  Improve your overall well-being 

The massage points offered are: 
  especially effective 
  easy to find, no need for someone else's assistance 
  shown with professional Full HD Photos and Videos 

""""With the App, I could feel flu relief within a couple of days after the start of the self-treatment! The points are easy to find using the videos. I am so happy to have the App always on me during that time, on my iPhone and iPad. Thanks, Dr. Bargak!""""
-Mrs. Mueller, Manager at BMW in Germany 

Thousands have done it already. Download the App on your iPhone, iPad or iPod. It works also without internet connection (on the plane, abroad, on the train etc.) 

For a price of a cup of coffee, you get a proven Flu Helper for ever with free lifelong updates containing more massage points. If you are dissatisfied with the product, let me know and you will get your money worth back. 

Are you interested in more massage points? Share it on my Facebook page and get people interested. The larger the following, the faster you will get the update of the app. Free. 

Have Fun with the App! 

Your Dr. Bargak 


Have some questions? Feel free to get in touch: 
- Facebook: https://www.facebook.com/pages/Dr-Jakob-Bargak/162860007105206 
- Twitter: https://twitter.com/drbargak 
- E-Mail: doktorbargak@gmail.com""";0
"Within minutes a board-certified doctor will connect with you ready to listen and resolve your issue.  Prescriptions if necessary can be sent to your pharmacy right away. It s healthcare when you need it, wherever you are! 

Adventist Health OnDemand doctors can diagnose, recommend treatment and  prescribe medication if necessary for many medical issues including:       

  Allergies 
  Bronchitis 
  Cold & flu symptoms 
  Ear infection 
  Pink eye 
  Poison ivy 
  Respiratory infection 
  Sinus problems 
  Sore throat 
  Stuffy nose 
  Urinary tract infection 

And more...";1
"The Application showcases scientific content using the image recognition technology.";0
"Advanced Prescription Services is an easy-to-use app that allows pharmacy customers to manage their entire family's prescriptions, order refills, set medication reminders, and find pharmacy location information. 

Creating an account is easy. Just enter your last name and date of birth, along with any existing prescription number. Then, simply add all of your family members to your account for quick and easy access to all of their prescriptions. 

Advanced Prescription Services is a free app for iPhone and iPod Touch users. There is no charge to download or use the app.";0
"Ahead To Wellness' custom application that allows you to track your results and follow your individually tailored program. It will increase your overall success in the program. All of this at the tip of your finger and any compatible mobile device.

Keeping track of your weight, detox, nutrition, fitness, supplements and life style changes is extremely easy!

Intuitive Design

The app is designed specifically  for Ahead To Wellness clinic patients. The familiar lay out will enable patients to quickly familiarize themselves with it and use it on a daily basis.

Use the app on your phones or other mobile devices. Ahead To Wellness clinic uses an admin web-based page where they can tailor the program to your needs, keep record of your progress, and communicate with you directly.";0
"The AMD eye app is a mobile source of information for patients with age related macular degeneration (AMD) who still maintain some reading vision.

    The app is unique in that it has been developed by an ophthalmologist specializing in retina/macular diseases who has received feed back from his patients and importantly family members of AMD patients (who they themselves may be at risk for AMD due to genetic and hereditary factors). The developer in everyday retina practice has found that patients often forget, misplace or lose at home the amsler grid charts given to them by his office.
    Thus specifically this app is the 1st ophthalmology app for the AMD patient designed with the following integrated features:
          an Amsler grid which the user can schedule daily or weekly alerts.
          education and information data to patients about AMD.
          design for patients and user focus in mind rather than a resource for the healthcare professional/student/resident who need more of a reference utility.
          protects patient privacy by not allowing the upload of a patient's personal daily amsler grid recording.
    
    For more information on the app please visit www.AMDeye.com and for more information on the retina office of Dr. Sastry please visit www.bethesdaretina.com.";1
"The American Osteopathic Academy of Orthopedics (AOAO) facilitates the finest training and continuous development of Osteopathic Orthopedic Surgeons to positively improve the care, healing and quality of life of patients.";1
"This free app sponsored by ADC will allow you to save an average of 15-55% on your prescription medications, look up prescription drug pricing, pharmacy locations and answer frequently asked questions.";0
