"specialty";"terms"
"Cardiology";"Circulatory and Respiratory Physiological Phenomena"
"Cardiology";"Blood Physiological Phenomena"
"Cardiology";"Acid-Base Equilibrium"
"Cardiology";"Bleeding Time"
"Cardiology";"Blood Bactericidal Activity"
"Cardiology";"Blood Cell Count"
"Cardiology";"Erythrocyte Count"
"Cardiology";"Reticulocyte Count"
"Cardiology";"Leukocyte Count"
"Cardiology";"Lymphocyte Count"
"Cardiology";"CD4 Lymphocyte Count"
"Cardiology";"CD4-CD8 Ratio"
"Cardiology";"Platelet Count"
"Cardiology";"Blood Group Incompatibility"
"Cardiology";"Rh Isoimmunization"
"Cardiology";"Blood Volume"
"Cardiology";"Cerebral Blood Volume"
"Cardiology";"Erythrocyte Volume"
"Cardiology";"Plasma Volume"
"Cardiology";"Erythrocyte Aging"
"Cardiology";"Erythrocyte Indices"
"Cardiology";"Fibrin Clot Lysis Time"
"Cardiology";"Hematopoiesis"
"Cardiology";"Erythropoiesis"
"Cardiology";"Hematopoiesis, Extramedullary"
"Cardiology";"Leukopoiesis"
"Cardiology";"Lymphopoiesis"
"Cardiology";"Myelopoiesis"
"Cardiology";"Thrombopoiesis"
"Cardiology";"Hemorheology"
"Cardiology";"Blood Viscosity"
"Cardiology";"Erythrocyte Aggregation"
"Cardiology";"Erythrocyte Deformability"
"Cardiology";"Hematocrit"
"Cardiology";"Platelet Aggregation"
"Cardiology";"Hemostasis"
"Cardiology";"Blood Coagulation"
"Cardiology";"Fibrinolysis"
"Cardiology";"Platelet Activation"
"Cardiology";"Clot Retraction"
"Cardiology";"Platelet Adhesiveness"
"Cardiology";"Osmotic Fragility"
"Cardiology";"Partial Thromboplastin Time"
"Cardiology";"Phagocytosis"
"Cardiology";"Cytophagocytosis"
"Cardiology";"Prothrombin Time"
"Cardiology";"Reticulocytosis"
"Cardiology";"Thrombin Time"
"Cardiology";"Whole Blood Coagulation Time"
"Cardiology";"Cardiovascular Physiological Phenomena"
"Cardiology";"Atrial Function"
"Cardiology";"Atrial Function, Left"
"Cardiology";"Atrial Function, Right"
"Cardiology";"Atrial Pressure"
"Cardiology";"Atrial Remodeling"
"Cardiology";"Blood Circulation"
"Cardiology";"Cerebrovascular Circulation"
"Cardiology";"Neurovascular Coupling"
"Cardiology";"Collateral Circulation"
"Cardiology";"Coronary Circulation"
"Cardiology";"Fractional Flow Reserve, Myocardial"
"Cardiology";"Microcirculation"
"Cardiology";"Placental Circulation"
"Cardiology";"Pulmonary Circulation"
"Cardiology";"Regional Blood Flow"
"Cardiology";"Renal Circulation"
"Cardiology";"Renal Blood Flow, Effective"
"Cardiology";"Renal Plasma Flow"
"Cardiology";"Renal Plasma Flow, Effective"
"Cardiology";"Splanchnic Circulation"
"Cardiology";"Liver Circulation"
"Cardiology";"Capillary Fragility"
"Cardiology";"Capillary Permeability"
"Cardiology";"Cardiomegaly, Exercise-Induced"
"Cardiology";"Cardiovascular Deconditioning"
"Cardiology";"Carotid Intima-Media Thickness"
"Cardiology";"Diving Reflex"
"Cardiology";"Hemodynamics"
"Cardiology";"Baroreflex"
"Cardiology";"Blood Pressure"
"Cardiology";"Arterial Pressure"
"Cardiology";"Pulmonary Wedge Pressure"
"Cardiology";"Venous Pressure"
"Cardiology";"Central Venous Pressure"
"Cardiology";"Portal Pressure"
"Cardiology";"Cardiac Output"
"Cardiology";"Stroke Volume"
"Cardiology";"Cardiac Volume"
"Cardiology";"Heart Rate"
"Cardiology";"Heart Rate, Fetal"
"Cardiology";"Respiratory Sinus Arrhythmia"
"Cardiology";"Heart Sounds"
"Cardiology";"Blood Flow Velocity"
"Cardiology";"Pulsatile Flow"
"Cardiology";"Kallikrein-Kinin System"
"Cardiology";"Pulse"
"Cardiology";"Renin-Angiotensin System"
"Cardiology";"Valsalva Maneuver"
"Cardiology";"Vascular Capacitance"
"Cardiology";"Vascular Resistance"
"Cardiology";"Capillary Resistance"
"Cardiology";"Vasoconstriction"
"Cardiology";"Vasodilation"
"Cardiology";"Ventricular Pressure"
"Cardiology";"Myocardial Contraction"
"Cardiology";"Diastole"
"Cardiology";"Systole"
"Cardiology";"Neovascularization, Physiologic"
"Cardiology";"Vascular Patency"
"Cardiology";"Vascular Remodeling"
"Cardiology";"Vascular Stiffness"
"Cardiology";"Ventricular Function"
"Cardiology";"Ventricular Function, Left"
"Cardiology";"Ventricular Function, Right"
"Cardiology";"Ventricular Remodeling"
"Cardiology";"Respiratory Physiological Phenomena"
"Cardiology";"Airway Remodeling"
"Cardiology";"Airway Resistance"
"Cardiology";"Lung Compliance"
"Cardiology";"Mucociliary Clearance"
"Cardiology";"Phonation"
"Cardiology";"Singing"
"Cardiology";"Pulmonary Diffusing Capacity"
"Cardiology";"Pulmonary Elimination"
"Cardiology";"Pulmonary Ventilation"
"Cardiology";"Forced Expiratory Flow Rates"
"Cardiology";"Maximal Expiratory Flow Rate"
"Cardiology";"Maximal Expiratory Flow-Volume Curves"
"Cardiology";"Maximal Midexpiratory Flow Rate"
"Cardiology";"Peak Expiratory Flow Rate"
"Cardiology";"Forced Expiratory Volume"
"Cardiology";"Maximal Voluntary Ventilation"
"Cardiology";"Respiration"
"Cardiology";"Breath Holding"
"Cardiology";"Respiratory Mechanics"
"Cardiology";"Bronchoconstriction"
"Cardiology";"Exhalation"
"Cardiology";"Inhalation"
"Cardiology";"Respiratory Rate"
"Cardiology";"Respiratory Transport"
"Cardiology";"Pulmonary Gas Exchange"
"Cardiology";"Respiratory Dead Space"
"Cardiology";"Respiratory Sounds"
"Cardiology";"Respiratory Tract Absorption"
"Cardiology";"Nasal Absorption"
"Cardiology";"Sneezing"
"Cardiology";"Total Lung Capacity"
"Cardiology";"Closing Volume"
"Cardiology";"Functional Residual Capacity"
"Cardiology";"Expiratory Reserve Volume"
"Cardiology";"Residual Volume"
"Cardiology";"Vital Capacity"
"Cardiology";"Inspiratory Capacity"
"Cardiology";"Inspiratory Reserve Volume"
"Cardiology";"Tidal Volume"
"Cardiology";"Ventilation-Perfusion Ratio"
"Cardiology";"Voice"
"Cardiology";"Voice Quality"
"Cardiology";"Work of Breathing"
"Cardiology";"Yawning"
"Cardiology";"Cardiovascular System"
"Cardiology";"Blood-Air Barrier"
"Cardiology";"Blood-Aqueous Barrier"
"Cardiology";"Blood-Brain Barrier"
"Cardiology";"Blood-Nerve Barrier"
"Cardiology";"Blood-Retinal Barrier"
"Cardiology";"Blood-Testis Barrier"
"Cardiology";"Blood Vessels"
"Cardiology";"Adventitia"
"Cardiology";"Arteries"
"Cardiology";"Aorta"
"Cardiology";"Aorta, Abdominal"
"Cardiology";"Aorta, Thoracic"
"Cardiology";"Sinus of Valsalva"
"Cardiology";"Arterioles"
"Cardiology";"Axillary Artery"
"Cardiology";"Basilar Artery"
"Cardiology";"Brachial Artery"
"Cardiology";"Brachiocephalic Trunk"
"Cardiology";"Bronchial Arteries"
"Cardiology";"Carotid Arteries"
"Cardiology";"Carotid Artery, Common"
"Cardiology";"Carotid Artery, External"
"Cardiology";"Carotid Artery, Internal"
"Cardiology";"Carotid Sinus"
"Cardiology";"Celiac Artery"
"Cardiology";"Cerebral Arteries"
"Cardiology";"Anterior Cerebral Artery"
"Cardiology";"Circle of Willis"
"Cardiology";"Middle Cerebral Artery"
"Cardiology";"Posterior Cerebral Artery"
"Cardiology";"Temporal Arteries"
"Cardiology";"Ciliary Arteries"
"Cardiology";"Coronary Vessels"
"Cardiology";"Epigastric Arteries"
"Cardiology";"Femoral Artery"
"Cardiology";"Gastroepiploic Artery"
"Cardiology";"Hepatic Artery"
"Cardiology";"Iliac Artery"
"Cardiology";"Maxillary Artery"
"Cardiology";"Meningeal Arteries"
"Cardiology";"Mesenteric Arteries"
"Cardiology";"Mesenteric Artery, Inferior"
"Cardiology";"Mesenteric Artery, Superior"
"Cardiology";"Ophthalmic Artery"
"Cardiology";"Popliteal Artery"
"Cardiology";"Pulmonary Artery"
"Cardiology";"Radial Artery"
"Cardiology";"Renal Artery"
"Cardiology";"Retinal Artery"
"Cardiology";"Splenic Artery"
"Cardiology";"Subclavian Artery"
"Cardiology";"Thoracic Arteries"
"Cardiology";"Mammary Arteries"
"Cardiology";"Tibial Arteries"
"Cardiology";"Ulnar Artery"
"Cardiology";"Umbilical Arteries"
"Cardiology";"Uterine Artery"
"Cardiology";"Vertebral Artery"
"Cardiology";"Microvessels"
"Cardiology";"Arteriovenous Anastomosis"
"Cardiology";"Capillaries"
"Cardiology";"Venules"
"Cardiology";"Retinal Vessels"
"Cardiology";"Retinal Vein"
"Cardiology";"Tunica Intima"
"Cardiology";"Endothelium, Vascular"
"Cardiology";"Pericytes"
"Cardiology";"Tunica Media"
"Cardiology";"Muscle, Smooth, Vascular"
"Cardiology";"Vasa Nervorum"
"Cardiology";"Vasa Vasorum"
"Cardiology";"Veins"
"Cardiology";"Axillary Vein"
"Cardiology";"Azygos Vein"
"Cardiology";"Brachiocephalic Veins"
"Cardiology";"Cerebral Veins"
"Cardiology";"Coronary Sinus"
"Cardiology";"Cranial Sinuses"
"Cardiology";"Cavernous Sinus"
"Cardiology";"Superior Sagittal Sinus"
"Cardiology";"Transverse Sinuses"
"Cardiology";"Femoral Vein"
"Cardiology";"Hepatic Veins"
"Cardiology";"Iliac Vein"
"Cardiology";"Jugular Veins"
"Cardiology";"Popliteal Vein"
"Cardiology";"Portal System"
"Cardiology";"Mesenteric Veins"
"Cardiology";"Portal Vein"
"Cardiology";"Splenic Vein"
"Cardiology";"Umbilical Veins"
"Cardiology";"Pulmonary Veins"
"Cardiology";"Renal Veins"
"Cardiology";"Saphenous Vein"
"Cardiology";"Subclavian Vein"
"Cardiology";"Venae Cavae"
"Cardiology";"Vena Cava, Inferior"
"Cardiology";"Vena Cava, Superior"
"Cardiology";"Venous Valves"
"Cardiology";"Glomerular Filtration Barrier"
"Cardiology";"Heart"
"Cardiology";"Endocardium"
"Cardiology";"Fetal Heart"
"Cardiology";"Ductus Arteriosus"
"Cardiology";"Truncus Arteriosus"
"Cardiology";"Heart Atria"
"Cardiology";"Atrial Appendage"
"Cardiology";"Heart Conduction System"
"Cardiology";"Atrioventricular Node"
"Cardiology";"Bundle of His"
"Cardiology";"Purkinje Fibers"
"Cardiology";"Sinoatrial Node"
"Cardiology";"Heart Septum"
"Cardiology";"Atrial Septum"
"Cardiology";"Endocardial Cushions"
"Cardiology";"Foramen Ovale"
"Cardiology";"Ventricular Septum"
"Cardiology";"Heart Valves"
"Cardiology";"Aortic Valve"
"Cardiology";"Chordae Tendineae"
"Cardiology";"Mitral Valve"
"Cardiology";"Papillary Muscles"
"Cardiology";"Pulmonary Valve"
"Cardiology";"Tricuspid Valve"
"Cardiology";"Heart Ventricles"
"Cardiology";"Myocardium"
"Cardiology";"Myoblasts, Cardiac"
"Cardiology";"Myocytes, Cardiac"
"Cardiology";"Pericardium"
"Cardiology";"Pericardial Fluid"
"Cardiology";"Cardiology"
"Cardiology";"Cardiac Electrophysiology"
"Cardiology";"Cardiovascular Diseases"
"Cardiology";"Cardiovascular Abnormalities"
"Cardiology";"Heart Defects, Congenital"
"Cardiology";"22q11 Deletion Syndrome"
"Cardiology";"DiGeorge Syndrome"
"Cardiology";"Alagille Syndrome"
"Cardiology";"Aortic Coarctation"
"Cardiology";"Arrhythmogenic Right Ventricular Dysplasia"
"Cardiology";"Barth Syndrome"
"Cardiology";"Cor Triatriatum"
"Cardiology";"Coronary Vessel Anomalies"
"Cardiology";"Bland White Garland Syndrome"
"Cardiology";"Myocardial Bridging"
"Cardiology";"Crisscross Heart"
"Cardiology";"Dextrocardia"
"Cardiology";"Kartagener Syndrome"
"Cardiology";"Ductus Arteriosus, Patent"
"Cardiology";"Ebstein Anomaly"
"Cardiology";"Ectopia Cordis"
"Cardiology";"Eisenmenger Complex"
"Cardiology";"Heart Septal Defects"
"Cardiology";"Aortopulmonary Septal Defect"
"Cardiology";"Truncus Arteriosus, Persistent"
"Cardiology";"Endocardial Cushion Defects"
"Cardiology";"Heart Septal Defects, Atrial"
"Cardiology";"Foramen Ovale, Patent"
"Cardiology";"Lutembacher Syndrome"
"Cardiology";"Heart Septal Defects, Ventricular"
"Cardiology";"Heterotaxy Syndrome"
"Cardiology";"Hypoplastic Left Heart Syndrome"
"Cardiology";"Isolated Noncompaction of the Ventricular Myocardium"
"Cardiology";"LEOPARD Syndrome"
"Cardiology";"Levocardia"
"Cardiology";"Marfan Syndrome"
"Cardiology";"Noonan Syndrome"
"Cardiology";"Tetralogy of Fallot"
"Cardiology";"Transposition of Great Vessels"
"Cardiology";"Double Outlet Right Ventricle"
"Cardiology";"Tricuspid Atresia"
"Cardiology";"Trilogy of Fallot"
"Cardiology";"Turner Syndrome"
"Cardiology";"Vascular Malformations"
"Cardiology";"Arteriovenous Malformations"
"Cardiology";"Arteriovenous Fistula"
"Cardiology";"Carotid-Cavernous Sinus Fistula"
"Cardiology";"Intracranial Arteriovenous Malformations"
"Cardiology";"Vein of Galen Malformations"
"Cardiology";"Central Nervous System Vascular Malformations"
"Cardiology";"Central Nervous System Venous Angioma"
"Cardiology";"Hemangioma, Cavernous, Central Nervous System"
"Cardiology";"Sinus Pericranii"
"Cardiology";"May-Thurner Syndrome"
"Cardiology";"Pulmonary Atresia"
"Cardiology";"Scimitar Syndrome"
"Cardiology";"Single Umbilical Artery"
"Cardiology";"Vascular Fistula"
"Cardiology";"Arterio-Arterial Fistula"
"Cardiology";"Cardiovascular Infections"
"Cardiology";"Endocarditis, Bacterial"
"Cardiology";"Endocarditis, Subacute Bacterial"
"Cardiology";"Syphilis, Cardiovascular"
"Cardiology";"Tuberculosis, Cardiovascular"
"Cardiology";"Pericarditis, Tuberculous"
"Cardiology";"Heart Diseases"
"Cardiology";"Arrhythmias, Cardiac"
"Cardiology";"Arrhythmia, Sinus"
"Cardiology";"Sick Sinus Syndrome"
"Cardiology";"Sinus Arrest, Cardiac"
"Cardiology";"Atrial Fibrillation"
"Cardiology";"Atrial Flutter"
"Cardiology";"Bradycardia"
"Cardiology";"Brugada Syndrome"
"Cardiology";"Cardiac Complexes, Premature"
"Cardiology";"Atrial Premature Complexes"
"Cardiology";"Ventricular Premature Complexes"
"Cardiology";"Commotio Cordis"
"Cardiology";"Heart Block"
"Cardiology";"Adams-Stokes Syndrome"
"Cardiology";"Atrioventricular Block"
"Cardiology";"Bundle-Branch Block"
"Cardiology";"Sinoatrial Block"
"Cardiology";"Long QT Syndrome"
"Cardiology";"Andersen Syndrome"
"Cardiology";"Jervell-Lange Nielsen Syndrome"
"Cardiology";"Romano-Ward Syndrome"
"Cardiology";"Parasystole"
"Cardiology";"Pre-Excitation Syndromes"
"Cardiology";"Lown-Ganong-Levine Syndrome"
"Cardiology";"Pre-Excitation, Mahaim-Type"
"Cardiology";"Wolff-Parkinson-White Syndrome"
"Cardiology";"Tachycardia"
"Cardiology";"Tachycardia, Paroxysmal"
"Cardiology";"Tachycardia, Reciprocating"
"Cardiology";"Tachycardia, Atrioventricular Nodal Reentry"
"Cardiology";"Tachycardia, Sinoatrial Nodal Reentry"
"Cardiology";"Tachycardia, Supraventricular"
"Cardiology";"Tachycardia, Ectopic Atrial"
"Cardiology";"Tachycardia, Ectopic Junctional"
"Cardiology";"Tachycardia, Sinus"
"Cardiology";"Tachycardia, Ventricular"
"Cardiology";"Accelerated Idioventricular Rhythm"
"Cardiology";"Torsades de Pointes"
"Cardiology";"Ventricular Fibrillation"
"Cardiology";"Ventricular Flutter"
"Cardiology";"Carcinoid Heart Disease"
"Cardiology";"Cardiac Output, High"
"Cardiology";"Cardiac Output, Low"
"Cardiology";"Cardiac Tamponade"
"Cardiology";"Cardiomegaly"
"Cardiology";"Cardiomyopathy, Dilated"
"Cardiology";"Hypertrophy, Left Ventricular"
"Cardiology";"Hypertrophy, Right Ventricular"
"Cardiology";"Cardiomyopathies"
"Cardiology";"Cardiomyopathy, Alcoholic"
"Cardiology";"Cardiomyopathy, Hypertrophic"
"Cardiology";"Cardiomyopathy, Hypertrophic, Familial"
"Cardiology";"Cardiomyopathy, Restrictive"
"Cardiology";"Chagas Cardiomyopathy"
"Cardiology";"Diabetic Cardiomyopathies"
"Cardiology";"Endocardial Fibroelastosis"
"Cardiology";"Endomyocardial Fibrosis"
"Cardiology";"Glycogen Storage Disease Type IIb"
"Cardiology";"Kearns-Sayre Syndrome"
"Cardiology";"Myocardial Reperfusion Injury"
"Cardiology";"Myocarditis"
"Cardiology";"Sarcoglycanopathies"
"Cardiology";"Endocarditis"
"Cardiology";"Endocarditis, Non-Infective"
"Cardiology";"Heart Aneurysm"
"Cardiology";"Heart Arrest"
"Cardiology";"Death, Sudden, Cardiac"
"Cardiology";"Karoshi Death"
"Cardiology";"Out-of-Hospital Cardiac Arrest"
"Cardiology";"Heart Failure"
"Cardiology";"Cardio-Renal Syndrome"
"Cardiology";"Dyspnea, Paroxysmal"
"Cardiology";"Edema, Cardiac"
"Cardiology";"Heart Failure, Diastolic"
"Cardiology";"Heart Failure, Systolic"
"Cardiology";"Heart Neoplasms"
"Cardiology";"Carney Complex"
"Cardiology";"Heart Rupture"
"Cardiology";"Heart Rupture, Post-Infarction"
"Cardiology";"Ventricular Septal Rupture"
"Cardiology";"Heart Valve Diseases"
"Cardiology";"Aortic Valve Insufficiency"
"Cardiology";"Aortic Valve Stenosis"
"Cardiology";"Aortic Stenosis, Subvalvular"
"Cardiology";"Discrete Subaortic Stenosis"
"Cardiology";"Aortic Stenosis, Supravalvular"
"Cardiology";"Williams Syndrome"
"Cardiology";"Heart Valve Prolapse"
"Cardiology";"Aortic Valve Prolapse"
"Cardiology";"Mitral Valve Prolapse"
"Cardiology";"Tricuspid Valve Prolapse"
"Cardiology";"Mitral Valve Insufficiency"
"Cardiology";"Mitral Valve Stenosis"
