"URL";"Name";"ID";"Category";"Description";"Keywords";"Version";"Age.Rating";"Language.s.";"Developer.ID";"Developer.Name";"Developer.URL";"Price";"Currency";"Size";"Last.Update.Date";"Release.Date";"Average.user.rating";"Number.of.user.ratings";"X..of.user.ratings.with.5.stars";"X..of.user.ratings.with.4.stars";"X..of.user.ratings.with.3.stars";"X..of.user.ratings.with.2.stars";"X..of.user.ratings.with.1.star";"Date"
"https://itunes.apple.com/us/app/fit-radio/id440844625?mt=8";"Fit Radio";440844625;"Health&Fitness";"Listening to the same playlists over and over again is boring. There's no better way to ruin a workout! You need new high-energy playlists every day - music that surprises you and keeps you moving. Maybe, you even wish you had a trainer to instruct and motivate you through your entire cardio session. Someone to be there with you to help you achieve your best results. At Fit Radio, our entire team is dedicated to giving you new music and new coach guided workouts every day. You'll have a coach in your ear pushing you through the toughest parts of your workout. You'll have the right song hitting you at the right moment - making your workouts fun again. Whether its incredible music to get your blood pumping, the beat syncing perfectly with your stride on a run, or a coach who will not let you quit, Fit Radio has everything you need to take your workout to next level. Fit Radio puts you in control with 3 options to choose from:Coaching Tab - Cardio coaching paired with the perfect playlist -Large variety of programs: Outdoor Run, Treadmill, Elliptical, Bike, Walk/Jog, HIIT-24+ new coached workouts every week-Let the trainer suggest a playlist that fits the workout perfectly, or choose your own -Pair workouts with your favorite genres, mixes, or BPM-High Quality sound recording-The right amount of coaching-Motivation when you need it most-Share workouts with friendsMusic Tab - Gain access to thousands of DJ mixes specifically created for your workout -Sort music by genre, BPM, DJ, and activity -150+ new mixes every month -Set intervals with our Interval Timer-Skip a song, skip a mix, tweet the DJ, and more-Share mixes with friendsRunning Tab - Match the music to your pace, so your foot hits the pavement on the beat -Run faster by staying on pace throughout your entire run-Start running and let the app find your pace, or choose your desired pace manually-Distance Tracking -Playlists are curated to give you the right type of song exactly when you need it-Running songs have all been scanned for key, pace, beat to give you the best experience The Formula Behind Our Running Mixes. Not only do our Running mixes match your pace. Playlists are also curated to give you the right type of song exactly when you need it.-0 to 10 Minutes - Hear popular songs you know and love to help get you to your first mile   effortlessly-10 to 20 Minutes - DJs drop in those hard hitting tracks that push you to your max and make    you feel determined to reach a new goal-20 to 30 Minutes - Transition into more fun, upbeat music right when you're hitting your   runner's high. Enjoy awesome throwbacks and awe-inspiring remixes of you favorite songs.-30 to 40 Minutes - Feel a sense of euphoria over the fact that you've kept your pace for so   long. Music transitions to a good flow with continuous beats to help you focus. - Title of service: Fit Radio Premium- Length of subscription: 1 Month- Price of subscription: Varies Monthly/Yearly- Payment will be charged to iTunes Account at confirmation of purchase- Subscription automatically renews unless auto-renew is turned off at least 24-hours before the end of the current period- Account will be charged for renewal within 24-hours prior to the end of the current period, and identify the cost of the renewal- Subscriptions may be managed by the user and auto-renewal may be turned off by going to the user's Account Settings in the App Store app after purchase- No cancellation of the current subscription is allowed during active subscription period- Any unused portion of a free trial period, if offered, will be forfeited when the user purchases a subscription to that publication.-Fit Radio shares workout data with HealthKit and helps close activity rings on the apple watch For more information check out our Privacy Policy and Terms of Use here:http://www.fitradio.com/privacy/http://www.fitradio.com/tos/";"Fit Radio, Social Study Media LLC, Health & Fitness, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"2018.10.01";12;"English";440844628;"Social Study Media, LLC.";"https://itunes.apple.com/us/developer/social-study-media-llc/id440844628?mt=8";0;NA;52;"2018-10-03";"2016-06-08";4,8;11800;89;1;2;8;1;"2018-10-26"
"https://itunes.apple.com/us/app/tta-planner/id946045167?mt=8";"TTA Planner";946045167;"Medical";"The Fusion TTA Planner app is used as an aid in the pre-operative planning process for Tibial Tuberosity Advancement surgery. The user uploads a pre-op X-Ray, using the instructions given by the app,  plots landmarks with the cursor to calculate the necessary advancement required.";"TTA Planner, Fusion Implants Ltd, Medical, Utilities, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"1.4";12;"English";946045166;"Fusion Implants Ltd";"https://itunes.apple.com/us/developer/fusion-implants-ltd/id946045166?mt=8";0;NA;31,7;"2016-10-21";"2014-12-05";NA;NA;NA;NA;NA;NA;NA;"2018-10-25"
"https://itunes.apple.com/us/app/matria-vaccinationreminder/id995595502?mt=8";"Matria VaccinationReminder";995595502;"Health&Fitness";"Track your child's Vaccination Schedule with Matria Healthcare Vaccination Reminder App.App users will be notified with Vaccination information on due dateOption to book an appointment with required pediatricianUser can Reschedule/Cancel the appointmentOption to Send childs vaccination report via SMS and EmailAdvantages:1. Timely intimation and scheduling assistance for vaccinations2. Minimal data entry and download effort for the parents3. Reduces OPD time for vaccination.";"Matria VaccinationReminder, sripriya soundararajan, Medical, Health & Fitness, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"2.1";12;"English";995595501;"sripriya soundararajan";"https://itunes.apple.com/us/developer/sripriya-soundararajan/id995595501?mt=8";0;NA;11,2;"2016-11-15";"2015-05-31";NA;NA;NA;NA;NA;NA;NA;"2018-10-25"
"https://itunes.apple.com/us/app/nursing-care-plans-nanda-noc/id1046345641?mt=8";"Nursing Care Plans NANDA, NOC";1046345641;"Medical";"Nursing Care Plans 1000 is the only Nursing Care Plan Manual with Reference. Updated with the most recent NANDA-I approved nursing diagnoses, Nursing Care Plans 1000 builds custom care plans with assessments, diagnoses, and plans for care. Nursing diagnoses are included for for over 1000 medical and psychiatric diagnoses, symptoms, diagnostic procedures, and surgical interventions. Linda Stanford, RN, MSN uses Nursing Outcomes Classification (NOC) and Nursing Interventions Classification (NIC) information to help you to build care plans, which include desired outcomes, interventions, patient teaching, and evidence-based rationales.Interventions and rationales are supported by References in APA format, which support the use of each intervention.Nursing Care Plans 1000 provides care plans for every NANDA-I approved nursing diagnosis.Includes step-by-step instructions on how to use Nursing Care Plans 1000 to create individualized care plans.Includes pediatric, geriatric, multicultural, and home care interventions.Includes examples of and suggested NIC interventions and NOC outcomes in each care plan.Includes the new 2009-2014 NANDA-I approved nursing diagnoses including 21 new and 8 revised diagnoses.Explains the difference between actual and potential problems.Adds detailed information on multidisciplinary and collaborative aspects of nursing.Demonstrates how care planning is used in nursing practice to provide effective nursing care.";"Nursing Care Plans NANDA, NOC, Paul Chan, Medical, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"2017.1";12;"English";998676204;"Paul Chan";"https://itunes.apple.com/us/developer/paul-chan/id998676204?mt=8";0;NA;85,5;"2017-02-27";"2015-10-29";NA;NA;NA;NA;NA;NA;NA;"2018-10-25"
"https://itunes.apple.com/us/app/lifechest/id596011527?mt=8";"LifeChest";596011527;"Medical";"LifeChest is the information storage app you've been waiting for!  LifeChest is the one app for gathering your most important life information into one digital location.  This app is  a great tool for helping grown children gather information as they help care for aging parents!  The Health and Insurance tabs are amazing resources to collect this info for doctors visits; the Banking and Financial tabs insure that account numbers and passwords are handy for handling financial manners over the phone; and with all of your Home Maintenance and Utilities information you'll never have to dig through mounds of bills to look for account numbers as you deal with vendors.";"LifeChest, Erin Cole, Medical, Lifestyle, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"1.2";4;"English";596011690;"Erin Cole";"https://itunes.apple.com/us/developer/erin-cole/id596011690?mt=8";0;NA;2,2;"2018-04-04";"2013-01-30";3,8;6;50;0;17;17;17;"2018-10-26"
"https://itunes.apple.com/us/app/pocket-cancer-care-guide/id453059212?mt=8";"Pocket Cancer Care Guide";453059212;"Medical";"I hate to take the doctors time to answer my questions.Im so puzzled I dont know what to ask.So many medical terms were used so quickly that I just went away confused.If youve had these reactions after meeting with your doctor, youre not alone: the emotional aspects that accompany cancer, together with the complex details of treatment, can be overwhelming. You need to know that its okay to ask your doctor questions and expect answers in terms you can understand.That's why NCCS has created the Pocket Cancer Care Guide, an app for you and your family, friends and loved ones to quickly and easily build lists of practical questions used to guide conversations between you and your doctors and nurses.  - Browse hundreds of questions in categories relevant to stages of your cancer diagnosis  - Build lists of questions to use when talking to your doctor or nurse  - Link doctor appointments to your lists and automatically add it to your calendar  - Record and playback your doctor's or nurses answers  - Can't find the right question to ask? Create your own custom questions and add them to the app!  - Explore the extensive glossary to learn more about medical terminology your doctor uses";"Pocket Cancer Care Guide, National Coalition for Cancer Survivorship, Medical, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"1.1.0";12;"English";453059215;"National Coalition for Cancer Survivorship";"https://itunes.apple.com/us/developer/national-coalition-for-cancer-survivorship/id453059215?mt=8";0;NA;8,5;"2014-05-08";"2011-10-11";3,9;7;71;0;0;0;29;"2018-10-26"
"https://itunes.apple.com/us/app/marietta-fire/id1108700097?mt=8";"Marietta Fire";1108700097;"Medical";"An all around app for the Marietta Fire Department";"Marietta Fire, Justin Kicklighter, Reference, Medical, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"1.29";4;"English";1108700096;"Justin Kicklighter";"https://itunes.apple.com/us/developer/justin-kicklighter/id1108700096?mt=8";0;NA;23,3;"2016-10-22";"2016-09-12";NA;NA;NA;NA;NA;NA;NA;"2018-10-25"
"https://itunes.apple.com/us/app/otarr-easy-access/id1364056266?mt=8";"OTARR Easy Access";1364056266;"Medical";"This application is the official MOH App for OTARR program.The application offers the following services for public users:oScheduling appointments (individuals or companies) Poison and Control Centers' Clinics.oScheduling Poison Control Centers mobile lab visits appointments (Companies) for Drugs of Abuse - Employment service.oGeneral Request Status Inquiry.oEvaluation of Poison Control Centers' services, complaints and suggestions.oTherapeutic Drugs Monitoring service results display.oPublic Registration Training Form submission / Poison and Control Centers.";"OTARR Easy Access, Ministry Of Health , Kingdom of Saudi Arabia, Medical, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";NA;4;"English, Arabic";770058893;"Ministry of Health - Saudi Arabia";"https://itunes.apple.com/us/developer/ministry-of-health-kingdom-of-saudi-arabia/id770058893?mt=8";0;NA;69,1;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2018-10-25"
"https://itunes.apple.com/us/app/loco-score/id871872156?mt=8";"Loco Score";871872156;"Medical";"Learn how to locomotion score dairy cows for lameness. You can locomotion score using a 3, 4, or 5 category scale. All three systems provide pictures, video and verbal descriptions of each category. A numerical and graphic summary of cows scored is provided. The summary may be emailed via a pdf. This app now features English, Spanish (Mexico, Latin American, US) and German language support.";"Loco Score, University of Wisconsin - Madison School of Veterinary Medicine, Education, Medical, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"1.2";4;"English, German, Spanish";871872159;"University of Wisconsin-Madison School of Veterinary Medicine";"https://itunes.apple.com/us/developer/university-wisconsin-madison-school-veterinary-medicine/id871872159?mt=8";2,99;"$";47;"2018-09-14";"2014-08-21";NA;NA;NA;NA;NA;NA;NA;"2018-10-26"
"https://itunes.apple.com/us/app/scott-county-rx/id1069113057?mt=8";"Scott County Rx";1069113057;"Health&Fitness";"Scott County Rx has been established since 1973, located in Huntsville, TN. We are located in the Grace Primary Care Medical Complex on Hwy 63. We offer traditional pharmacy services, OTCs, flu shots, MTM Services, and much more.Our App Features:- Medication Refills: Easily refill your prescriptions on the go- Refill Reminders: Save time on your next refill with a reminder and refill with a single tap- Medication Reminders: Never forget to take your medications again- Co-Pay Coupons: Save up to $450 on top brand medications- Touch-to-Call: Connect with us at the touch of a button- Medication Videos: learn about your medications- Video Health News: doctor and pharmacist reviewed news videos and articles- Visit Prep: health questionnaires to help your pharmacist or doctor better treat you- Ask the Pharmacist: submit to our pharmacists- Favorites: bookmark your favorite articles and conditions- Automatic Updates: access breaking news with automatic content updates";"Scott County Rx, Digital Pharmacist Inc., Health & Fitness, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"7.4.6";17;"English";610044448;"Digital Pharmacist Inc.";"https://itunes.apple.com/us/developer/digital-pharmacist-inc/id610044448?mt=8";0;NA;37,2;"2018-04-07";"2015-12-29";NA;NA;NA;NA;NA;NA;NA;"2018-10-25"
"https://itunes.apple.com/us/app/euroscore-ii/id473767507?mt=8";"EuroSCORE II";473767507;"Medical";"EuroSCORE stands for European System for Cardiac Operative Risk Evaluation.  It identifies a number of risk factors which help to predict mortality from cardiac surgery.  The original EuroSCORE calculator was published in 1999, derived from an international database of patients undergoing cardiac surgery. The EuroSCORE II calculator was released for use on October 3, 2011 at the European Association of Cardiothoracic Surgery meeting in Lisbon.The original calculator is used worldwide for both the measurement of risk and as a benchmark for the assessment of quality of cardiac surgical services.  There are more than 1300 formal citations of the EuroSCORE in the medical literature.The previous additive and logistic EuroSCORE versions are now inappropriately calibrated but have remained powerfully discriminatory.  Nevertheless, there is evidence that discrimination may be improved further by refining and modifying some of the risk factors, such as renal dysfunction.  Therefore, the new EuroSCORE II calculator was developed to optimize its useful application in contemporary practice.The EuroSCORE II calculator is to be used as an educational tool only, and it should not be viewed as a substitute for the opinion of expert Cardiac Surgeons and Cardiologists.  Clinical judgement must be used whenever rare risk factors are present.  The risk model provides a set standard, and units and surgeons will perform at, above or below the standard.  Best practice in quoting risk to patients is to adjust the risk calculated by EuroSCORE II to the results achieved by the unit in question.  The application is meant to be used as a tool to guide discussions with patients, families, and healthcare providers regarding the potential outcomes after open heart surgery.";"EuroSCORE II, Edward Bender, Medical, Education, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"1.3";4;"English";335096462;"Edward Bender";"https://itunes.apple.com/us/developer/edward-bender/id335096462?mt=8";0;NA;13,5;"2017-03-27";"2011-11-07";NA;NA;NA;NA;NA;NA;NA;"2018-10-26"
"https://itunes.apple.com/us/app/dvijay-pharma/id1159674954?mt=8";"Dvijay Pharma";1159674954;"Medical";"Dvijay Pharma Pvt. Ltd. (Estd. 1975) is a Pharmaceutical Distribution company based out of Nashik (Maharashtra, India). The company has branches in the cities of Mumbai, Pune and Nashik Road";"Dvijay Pharma, MOHAN KUTE, Medical, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"1.8";4;"English";1159674953;"MOHAN KUTE";"https://itunes.apple.com/us/developer/mohan-kute/id1159674953?mt=8";0;NA;12,5;"2018-09-27";"2016-09-29";NA;NA;NA;NA;NA;NA;NA;"2018-10-25"
"https://itunes.apple.com/us/app/sobracil-2014/id902874001?mt=8";"SOBRACIL 2014";902874001;"Medical";"About the application:An application with free download, available for smartphones and tablets.The application allows you to have in the palm of your hand all the information needed to participate in the event from now on.With it you have access to the list of approved papers, registration forms, hosting reservations and issuance of airline tickets. You can also navigate in the programming of the event, select that you want to attend, create alerts, advertise on social networks, and create notes and favorite list. Access to information from the international guests and their scientific activities in the program of the event.You can create notes and it will group all notes in chronological order of creation, in addition to creating your list of favorites.The application is integrated with Facebook and Twitter, so you can share what you want of the program and the event with your friends.About the Event:The 12th Brazilian Congress of Video Surgery SOBRACIL and SRS International Meeting (www.sobracil.org.brcongresso) will be held from September 24 to 27, 2014, in Centro-Sul  Florianpolis.This event will bring together doctors and medical students from different countries and from different States of Brazil with activities related to video surgery.It is promoted by the Brazilian Society of Video Surgery, SOBRACIL, with the support and collaboration of several other medical societies, Brazilian and international.The event will offer about 240 hours of scientific programming distributed among topics of General Surgery, Bariatric and Metabolic Surgery, Coloproctological Surgery, Gynecological surgery, Thoracic surgery, Pediatric Surgery and Urological Surgery. The approved papers will be published in the official journal of SOBRACIL and the best paper will be awarded a Macbook.A brand new (0 KM) car will be raffled among the participants present at the closing session of the event.The Da Vinci Simulator will be available at the event for training activities in robotics.The social programming includes a SOBRACIL version of the greatest German party Brazilian Oktoberfest, on September 27. An event to go down in history!";"SOBRACIL 2014, Jalan, Medical, Education, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";NA;4;"English, Portuguese, Spanish";472426524;"UP TO DATE EVENTOS LTDA";"https://itunes.apple.com/us/developer/jalan/id472426524?mt=8";0;NA;32,9;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2018-10-25"
